penalty_label,n_cps,cps,loss,raw_loss
aic,0,,886.8621145389493,3390.117408177205
bic,0,,950.725547292677,3390.117408177205
mdl,0,,475.3627736463385,3390.117408177205
rfpop_huber,5,60;110;150;260;320,825.0509023995638,783.110650569808
rfpop_l1,8,40;50;60;70;110;150;260;320,760.2137698235317,712.2820534466679
rfpop_l2,8,40;50;60;70;110;150;260;320,760.2137698235317,712.2820534466679
rfpop_outlier,5,60;110;150;260;320,843.0252960408877,783.110650569808
tcpd_aic,8,40;60;80;120;150;260;290;320,241.4924285249165,699.3809722362616
tcpd_aic0,8,40;60;80;120;150;260;290;320,239.4924285249165,699.3809722362616
tcpd_bic,8,40;60;80;120;150;260;290;320,277.41560944888835,699.3809722362616
tcpd_bic0,8,40;60;80;120;150;260;290;320,271.4241449017804,699.3809722362616
tcpd_hannan_quinn,8,40;60;80;120;150;260;290;320,255.7184743815646,699.3809722362616
tcpd_hannan_quinn0,8,40;60;80;120;150;260;290;320,252.13780261971482,699.3809722362616
tcpd_mbic,8,40;60;80;120;150;260;290;320,283.4070739959963,699.3809722362616
tcpd_none,8,40;60;80;120;150;260;290;320,223.4924285249165,699.3809722362616
tcpd_sic,8,40;60;80;120;150;260;290;320,277.41560944888835,699.3809722362616
wbs_bic,0,,427.43105726947465,3390.117408177205
wbs_mbic,0,,427.43105726947465,3390.117408177205
wbs_ssic,0,,427.43105726947465,3390.117408177205
