parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,n_failed,best_found_loss
δ_global,1,0.35999999999997284,1509.4206497151577,0.3484529815326861,0.36,false,1513.2621085358517,0,1509.4206496675192
ᴺε₀_global,2,0.39999999999928076,1509.4206497151577,0.19460339330879617,0.39999999999999997,false,1513.2621085358517,0,1509.4206496065294
ᴺε₁_global,3,0.10714285714285561,1509.4206497151577,0.07951980443663194,0.10714285714285714,false,1513.2621085358517,0,1509.4206496988859
ᴺγ₀_global,4,0.2399999999996814,1509.4206497151577,0.16150639464762068,0.24,false,1513.2621085358517,0,1509.4206497066973
ᴺγ₁_global,5,0.11009174311926603,1509.4206497151577,0.10934783961043716,0.11009174311926605,false,1513.2621085358517,0,1509.4206496774277
ᴺγ₂_global,6,0.06655634698180543,1509.4206497151577,0.06292927188125441,0.07018499584799995,true,1513.2621085358517,0,1509.4206497151577
ᴺγ₃_global,7,0.09258285653052799,1509.4206497151577,0.07771011500912992,0.10892864238926604,true,1513.2621085358517,0,1509.4206497151577
ω_global,8,0.01310255642924128,1509.4206497151577,0.009387636466014232,0.0144,false,1513.2621085358517,0,1509.4206497151577
ᴺp₁_seg1,9,0.07589690152181047,1509.4206497151577,0.05926009790694473,0.13103901524522232,true,1513.2621085358517,0,1509.4206497151577
ᴺβ_seg1,10,0.36275284209176506,1509.4206497151577,0.35774427054870067,0.5099364864341602,true,1513.2621085358517,0,1509.4206497151577
ᴺp₁₂_seg1,11,0.5999999999999853,1509.4206497151577,0.5929405321001804,0.6,false,1513.2621085358517,0,1509.4206496981485
ᴺp₂₃_seg1,12,0.5999999999999847,1509.4206497151577,0.5820567521033341,0.6,false,1513.2621085358517,0,1509.4206496376048
ᴺp₁D_seg1,13,0.0008333333333780923,1509.4206497151577,0.0008333333333333334,0.00995729028970674,false,1513.2621085358517,0,1509.4206497144544
ᴺp₂D_seg1,14,0.0024909404056387753,1509.4206497151577,0.0008333333333333334,0.11136251792861977,false,1513.2621085358517,0,1509.4206497151577
ᴺp₃D_seg1,15,0.5999999999997627,1509.4206497151577,0.0008333333333333334,0.6,false,1513.2621085358517,0,1509.420649654392
ν_seg1,16,0.11999999999999998,1509.4206497151577,8.333333333333334e-5,0.12,false,1513.2621085358517,0,1509.4206491180676
ᴺp₁_seg2,17,0.0009709870339648358,1509.4206497151577,0.0007885330555979889,0.0013200280918859615,true,1513.2621085358517,0,1509.4206497151577
ᴺβ_seg2,18,0.061896925780514866,1509.4206497151577,0.04582846786772611,0.06441650143686978,true,1513.2621085358517,0,1509.4206497151577
ᴺp₁₂_seg2,19,0.5999999999997833,1509.4206497151577,0.5346095563249974,0.6,false,1513.2621085358517,0,1509.4206497073383
ᴺp₂₃_seg2,20,0.3343200107963212,1509.4206497151577,0.24464448661725366,0.4835650652737116,true,1513.2621085358517,0,1509.4206497151577
ᴺp₁D_seg2,21,0.0008333333334441677,1509.4206497151577,0.0008333333333333334,0.023125785405495605,false,1513.2621085358517,0,1509.4206495408648
ᴺp₂D_seg2,22,0.21862895550363667,1509.4206497151577,0.12519361447907565,0.31323111534896453,true,1513.2621085358517,0,1509.4206497151577
ᴺp₃D_seg2,23,0.5845414110281902,1509.4206497151577,0.3057157290830997,0.6,false,1513.2621085358517,0,1509.4206497151577
ν_seg2,24,0.04646363203051669,1509.4206497151577,8.333333333333334e-5,0.12,false,1513.2621085358517,0,1509.4206494234309
ᴺp₁_seg3,25,0.0025534907954764324,1509.4206497151577,0.002335075935566909,0.0028366827817807114,true,1513.2621085358517,0,1509.4206497151577
ᴺβ_seg3,26,0.15010235664814534,1509.4206497151577,0.1300909096167508,0.15093103822632964,true,1513.2621085358517,0,1509.4206497151577
ᴺp₁₂_seg3,27,0.5999999999999557,1509.4206497151577,0.5799194893241244,0.6,false,1513.2621085358517,0,1509.4206495855242
ᴺp₂₃_seg3,28,0.5999999999992573,1509.4206497151577,0.4816256969188008,0.6,false,1513.2621085358517,0,1509.4206497143184
ᴺp₁D_seg3,29,0.0008333333333551082,1509.4206497151577,0.0008333333333333334,0.008855860081070751,false,1513.2621085358517,0,1509.4206496549218
ᴺp₂D_seg3,30,0.0038239562626834994,1509.4206497151577,0.0008333333333333334,0.07534207122265754,false,1513.2621085358517,0,1509.4206497151577
ᴺp₃D_seg3,31,0.5999999999998622,1509.4206497151577,0.5418466054514545,0.6,false,1513.2621085358517,0,1509.4206496800357
ν_seg3,32,0.00892028490192407,1509.4206497151577,0.004525527398673952,0.01642321955771401,true,1513.2621085358517,0,1509.4206497151577
