parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,relative_width,n_failed,best_found_loss
δ_global,1,0.2999999999746218,1597.660983646551,0.29473813390467035,0.3,false,1601.502442467245,0.017539553652582533,0,1597.660983646551
ᴺε₀_global,2,0.27554176726499363,1597.660983646551,0.2702547508812711,0.27974408641551396,true,1601.502442467245,0.0344388280166498,0,1597.660983646551
ᴺε₁_global,3,0.08928571428571427,1597.660983646551,0.08912919301378411,0.08928571428571429,false,1601.502442467245,0.0017530382456180107,0,1597.660983646551
ᴺγ₀_global,4,0.19999998185772466,1597.660983646551,0.19678313671610276,0.2,false,1601.502442467245,0.016084317878516885,0,1597.660983646551
ᴺγ₁_global,5,0.09174311892623874,1597.660983646551,0.09129075189369609,0.09174311926605504,false,1601.502442467245,0.0049308043769761825,0,1597.660983646551
ᴺγ₂_global,6,0.05263159415501998,1597.660983646551,0.05263157894736842,0.053651031479785796,false,1601.502442467245,0.01936959251917592,0,1597.660983646551
ᴺγ₃_global,7,0.06664610429057288,1597.660983646551,0.06273327058534045,0.06937855568203527,true,1601.502442467245,0.0997100305776582,0,1597.660983646551
ω_global,8,0.00803927238923019,1597.660983646551,0.0079753655956909,0.008098816088282406,true,1601.502442467245,0.015355928573447376,0,1597.660983646551
ᴺp₁_seg1,9,0.0002761947169203042,1597.660983646551,0.00026624770107002473,0.0002867333523271947,true,1601.502442467245,0.07417104673686102,0,1597.660983646551
ᴺβ_seg1,10,1.0210008546735194,1597.660983646551,1.0125250763424787,1.0265195298487113,true,1601.502442467245,0.013706603125917627,0,1597.660983646551
ᴺp₁₂_seg1,11,0.49999999953288793,1597.660983646551,0.4945941042305057,0.5,false,1601.502442467245,0.010811791549089228,0,1597.660983646551
ᴺp₂₃_seg1,12,0.4999999999682639,1597.660983646551,0.48921140799154283,0.5,false,1601.502442467245,0.02157718401828388,0,1597.660983646551
ᴺp₁D_seg1,13,0.0010000000023939074,1597.660983646551,0.001,0.0011010014655992435,false,1601.502442467245,0.10100146535745534,0,1597.660983646551
ᴺp₂D_seg1,14,0.003270041223528993,1597.660983646551,0.0029785733528739445,0.0035992637450022484,true,1601.502442467245,0.18981118270382585,0,1597.660983646551
ᴺp₃D_seg1,15,0.4999999999336969,1597.660983646551,0.48388506295200195,0.5,false,1601.502442467245,0.03222987410026997,0,1597.660983646551
ν_seg1,16,0.052248940296699645,1597.660983646551,0.0502036063191062,0.05429427427429309,true,1601.502442467245,0.0782918836622852,0,1597.660983646551
ᴺp₁_seg2,17,0.00037313461796588144,1597.660983646551,0.0003531975811058658,0.00039792522425845744,true,1601.502442467245,0.11986999061202466,0,1597.660983646551
ᴺβ_seg2,18,0.11524169201476595,1597.660983646551,0.11173768813595278,0.11821750799520393,true,1601.502442467245,0.05622808677974715,0,1597.660983646551
ᴺp₁₂_seg2,19,0.5,1597.660983646551,0.4898470389840356,0.5,false,1601.502442467245,0.020305922031928825,0,1597.660983646551
ᴺp₂₃_seg2,20,0.32327058937683245,1597.660983646551,0.31308651062433024,0.3405541111948436,true,1601.502442467245,0.0849678302732783,0,1597.660983646551
ᴺp₁D_seg2,21,0.07382664507539048,1597.660983646551,0.07005920942082065,0.07998011378058255,true,1601.502442467245,0.13438108083647632,0,1597.660983646551
ᴺp₂D_seg2,22,0.4999999811259334,1597.660983646551,0.48446340981545,0.5,false,1601.502442467245,0.0310731815420546,0,1597.660983646551
ᴺp₃D_seg2,23,0.25227997204760255,1597.660983646551,0.24209630505353064,0.27948416531349624,true,1601.502442467245,0.14819987475228874,0,1597.660983646551
ν_seg2,24,0.001498902931759986,1597.660983646551,0.0013655966336170494,0.0016322092299029228,true,1601.502442467245,0.17787182254211847,0,1597.660983646551
ᴺp₁_seg3,25,0.0027582999222178855,1597.660983646551,0.0026913943292615795,0.0028255147558609176,true,1601.502442467245,0.048624308589145335,0,1597.660983646551
ᴺβ_seg3,26,0.18987371352291532,1597.660983646551,0.18934230780657307,0.19055900736730147,true,1601.502442467245,0.006407941036985911,0,1597.660983646551
ᴺp₁₂_seg3,27,0.4999999728619967,1597.660983646551,0.49425156966547235,0.5,false,1601.502442467245,0.011496861293059027,0,1597.660983646551
ᴺp₂₃_seg3,28,0.4999999999060006,1597.660983646551,0.4846383850404153,0.5,false,1601.502442467245,0.030723229924945358,0,1597.660983646551
ᴺp₁D_seg3,29,0.0010000003623938233,1597.660983646551,0.001,0.001088234407406175,false,1601.502442467245,0.0882343754305823,0,1597.660983646551
ᴺp₂D_seg3,30,0.22985045412831084,1597.660983646551,0.21969776539551,0.24357071959285767,true,1601.502442467245,0.10386298468664726,0,1597.660983646551
ᴺp₃D_seg3,31,0.49999999999999994,1597.660983646551,0.48272153786535815,0.5,false,1601.502442467245,0.0345569242692837,0,1597.660983646551
ν_seg3,32,0.011418870944090895,1597.660983646551,0.01083619637557362,0.012003148978829018,true,1601.502442467245,0.10219509520416108,0,1597.660983646551
