cp_index,original_cp,candidate_cp,loss,delta_loss
1,60,53,2181.255992447887,585.5941776007439
1,60,54,2008.456393361493,412.79457851434995
1,60,55,1870.681499673335,275.01968482619213
1,60,56,1764.7359073295056,169.07409248236263
1,60,57,1687.2971954149025,91.63538056775951
1,60,58,1635.0483509946937,39.386536147550714
1,60,59,1605.2207388025877,9.558923955444698
1,60,60,1595.661814847143,0.0
1,60,61,1604.5413650100825,8.879550162939495
1,60,62,1620.462897595824,24.801082748680983
1,60,63,1638.0073792183641,42.345564371221144
1,60,64,1658.8988373787686,63.2370225316256
1,60,65,1690.2551517403717,94.59333689322875
1,60,66,1723.5782051942579,127.91639034711488
1,60,67,1757.1641753567174,161.50236050957437
2,150,143,1616.0536993517671,20.39188450462416
2,150,144,1608.506022838997,12.844207991854091
2,150,145,1602.4834711887988,6.821656341655853
2,150,146,1597.8172524608085,2.1554376136655264
2,150,147,1594.5844418976021,-1.0773729495408588
2,150,148,1593.0061871054008,-2.655627741742137
2,150,149,1593.333453267012,-2.328361580131059
2,150,150,1595.661814847143,0.0
2,150,151,1599.980246664093,4.318431816950124
2,150,152,1606.2460981564109,10.584283309267903
2,150,153,1614.488266483444,18.826451636301044
2,150,154,1624.85262732619,29.190812479047054
2,150,155,1637.508692472559,41.84687762541603
2,150,156,1652.4963695027482,56.83455465560519
2,150,157,1669.6898643418222,74.02804949467918
