eigenvalue_index,eigenvalue
1,1.6944233985185705e7
2,1.051037165982373e7
3,1.217647704839986e6
4,891360.4312449688
5,305169.77928250644
6,257641.3296157528
7,178248.13146740038
8,141426.0513354768
9,66586.01941919465
10,34950.75064034456
11,21607.367833746855
12,19301.204194605893
13,10500.419401860727
14,5792.697529278173
15,2793.174834123487
16,2212.9423500588086
17,1680.6356793121215
18,1472.3697268381013
19,719.3154102453708
20,595.2290749413717
21,510.6194645878793
22,450.4458768391588
23,340.0230823566595
24,213.3424193680742
25,195.8876933478024
26,176.6998430604877
27,171.8545028253355
28,142.8035662420151
29,106.19004056481234
30,91.74927347107655
31,84.54583023473218
32,74.19987146320702
33,65.36836060730685
34,60.774137460600805
35,51.486951245217966
36,46.04792074276618
37,43.125563938157754
38,35.75455860585394
39,30.911157505307635
40,30.190594434104483
41,26.42324649413133
42,18.708563752197986
43,15.989291195357268
44,13.802780873365517
45,11.121303430514802
46,10.095005046808675
47,6.474034880125695
48,2.2782109356066202
49,1.6597388627714302
50,1.3668687038214575
51,0.7612552672947049
52,0.570131781182773
53,0.2824957907980592
54,0.22607749651420708
55,0.1980404918962762
56,0.15057113353871282
57,0.08130509458550703
58,0.03354175574050329
59,0.021984916418260562
60,0.010950534682823485
61,0.006723947308980936
62,0.003203845545314192
63,0.0020866314004559247
64,0.001009590301488336
65,0.0006413378360506605
66,0.00038239540762766334
67,0.0002323549031259209
68,0.00016469246200308423
69,0.00010531376783946952
70,1.2427888716762535e-5
71,3.1714583683781044e-7
72,6.781197050190856e-10
73,8.113945635210137e-15
74,8.01135638176963e-15
75,4.2286093296046206e-15
76,1.1933762301281098e-19
77,-3.182944508069727e-12
78,-3.784791605449407e-12
79,-2.887527590463325e-11
80,-4.246323410738407e-11
