parameter,value
δ_global,0.16331390594674558
ᴺε₀_global,0.16585196274000524
ᴺε₁_global,0.08597425748859747
ᴺγ₀_global,0.1678259255573705
ᴺγ₁_global,0.09171175074064661
ᴺγ₂_global,0.052804757048962966
ᴺγ₃_global,0.06381191110684564
ω_global,0.007372667840886886
ᴺp₁_seg1,0.7726706120101052
ᴺβ_seg1,0.48261767507279807
ᴺp₁₂_seg1,0.49928028784032613
ᴺp₂₃_seg1,0.49752919224539105
ᴺp₁D_seg1,0.010959067623295883
ᴺp₂D_seg1,0.007563395944478227
ᴺp₃D_seg1,0.18458587409687632
ν_seg1,0.030891618500173385
ᴺp₁_seg2,0.00419138991099737
ᴺβ_seg2,0.057832971858124214
ᴺp₁₂_seg2,0.49915680564319986
ᴺp₂₃_seg2,0.28333503983232605
ᴺp₁D_seg2,0.2104188344891241
ᴺp₂D_seg2,0.2342904623594151
ᴺp₃D_seg2,0.4604061649047521
ν_seg2,0.06215072310166046
ᴺp₁_seg3,0.002692962791024941
ᴺβ_seg3,0.1250294168661796
ᴺp₁₂_seg3,0.49894015010595816
ᴺp₂₃_seg3,0.4979508811598509
ᴺp₁D_seg3,0.003215684756191106
ᴺp₂D_seg3,0.19237943786496298
ᴺp₃D_seg3,0.4941873815361062
ν_seg3,0.0077448396306608784
