parameter,index,value,loss,delta_loss
δ_global,1,0.29599999999998455,2456.433161000018,862.1195412770433
δ_global,1,0.29999999999998456,1594.3136197229749,0.0
δ_global,1,0.3,2423.356245406436,829.042625683461
ᴺε₀_global,2,0.3286666666666666,2412.0500986620127,817.7364789390379
ᴺε₀_global,2,0.33333333333333326,1594.3136197229749,0.0
ᴺε₀_global,2,0.3333333333333333,2423.3562454067346,829.0426256837598
ᴺε₁_global,3,0.0892094017094017,2428.71730398238,834.4036842594053
ᴺε₁_global,3,0.08928571428571427,1594.3136197229749,0.0
ᴺε₁_global,3,0.08928571428571429,2423.356245394365,829.0426256713902
ᴺγ₀_global,4,0.19683332635701548,2461.7998250661117,867.4862053431368
ᴺγ₀_global,4,0.19999999302368215,1594.3136197229749,0.0
ᴺγ₀_global,4,0.2,2423.356162716759,829.0425429937843
ᴺγ₁_global,5,0.09117407966554378,2431.6347756717964,837.3211559488216
ᴺγ₁_global,5,0.09174311926605475,1594.3136197229749,0.0
ᴺγ₁_global,5,0.09174311926605504,2423.35624539139,829.0426256684152
ᴺγ₂_global,6,0.05263157894736842,2423.3562456471805,829.0426259242056
ᴺγ₂_global,6,0.052631579025605515,1594.3136197229749,0.0
ᴺγ₂_global,6,0.05526315797688579,2419.9776056425535,825.6639859195786
ᴺγ₃_global,7,0.06507936329645048,2421.698037587594,827.3844178646193
ᴺγ₃_global,7,0.06683862255570974,1594.3136197229749,0.0
ᴺγ₃_global,7,0.06859788181496901,2425.4191863155525,831.1055665925776
ω_global,8,0.008201981651212819,2271.797258554019,677.4836388310443
ω_global,8,0.008381981651212818,1594.3136197229749,0.0
ω_global,8,0.008561981651212818,2581.0426055586495,986.7289858356746
ᴺp₁_seg1,9,0.00026218370311932056,2400.816158609716,806.5025388867409
ᴺp₁_seg1,9,0.0002759828453887585,1594.3136197229749,0.0
ᴺp₁_seg1,9,0.0002897819876581964,2458.17697504256,863.8633553195853
ᴺβ_seg1,10,0.8494052702847711,2445.2132056314813,850.8995859085064
ᴺβ_seg1,10,0.8941108108260748,1594.3136197229749,0.0
ᴺβ_seg1,10,0.9388163513673785,1719.982353092966,125.66873336999106
ᴺp₁₂_seg1,11,0.49001999998490675,2424.716289351581,830.4026696286062
ᴺp₁₂_seg1,11,0.49999999998490674,1594.3136197229749,0.0
ᴺp₁₂_seg1,11,0.5,2423.356245390048,829.0426256670733
ᴺp₂₃_seg1,12,0.49001999938977703,2424.5370621681723,830.2234424451974
ᴺp₂₃_seg1,12,0.499999999389777,1594.3136197229749,0.0
ᴺp₂₃_seg1,12,0.5,2423.3562453266527,829.0426256036778
ᴺp₁D_seg1,13,0.001,2423.356240988898,829.0426212659233
ᴺp₁D_seg1,13,0.0010000001262425188,1594.3136197229749,0.0
ᴺp₁D_seg1,13,0.0010500001325546447,2425.09151117416,830.7778914511853
ᴺp₂D_seg1,14,0.0036714755498208143,2386.830752704778,792.5171329818033
ᴺp₂D_seg1,14,0.0038647111050745414,1594.3136197229749,0.0
ᴺp₂D_seg1,14,0.004057946660328268,2386.8829463190154,792.5693265960406
ᴺp₃D_seg1,15,0.49001999415121633,2422.6096603623223,828.2960406393474
ᴺp₃D_seg1,15,0.4999999941512163,1594.3136197229749,0.0
ᴺp₃D_seg1,15,0.5,2423.356245801074,829.0426260780989
ν_seg1,16,0.03542063590739726,2423.356245390711,829.0426256677363
ν_seg1,16,0.03728487990252343,1594.3136197229749,0.0
ν_seg1,16,0.0391491238976496,2423.356245390711,829.0426256677363
ᴺp₁_seg2,17,0.0003562900989740283,2387.6905159267126,793.3768962037377
ᴺp₁_seg2,17,0.0003750422094463456,1594.3136197229749,0.0
ᴺp₁_seg2,17,0.0003937943199186629,2463.822886279365,869.50926655639
ᴺβ_seg2,18,0.03886557871051592,5508.958586269466,3914.6449665464907
ᴺβ_seg2,18,0.06774733903667912,1523.4267799255126,-70.88683979746224
ᴺβ_seg2,18,0.08700184592078791,1536.9149405423695,-57.39867918060531
ᴺβ_seg2,18,0.0998381838435271,1553.8821928287293,-40.43142689424553
ᴺβ_seg2,18,0.10839574245868656,1580.0924817845196,-14.221137938455286
ᴺβ_seg2,18,0.11410078153545954,1594.3136197229749,0.0
ᴺβ_seg2,18,0.11980582061223251,1606.685178815531,12.371559092556026
ᴺp₁₂_seg2,19,0.490019998595034,2412.813598945355,818.49997922238
ᴺp₁₂_seg2,19,0.49999999859503397,1594.3136197229749,0.0
ᴺp₁₂_seg2,19,0.5,2423.356246934302,829.042627211327
ᴺp₂₃_seg2,20,0.3187026360104902,2419.894130886708,825.580511163733
ᴺp₂₃_seg2,20,0.3286826360104902,1594.3136197229749,0.0
ᴺp₂₃_seg2,20,0.3386626360104902,2426.960863838932,832.6472441159569
ᴺp₁D_seg2,21,0.06645601752932172,2407.231310337598,812.9176906146233
ᴺp₁D_seg2,21,0.06995370266244391,1594.3136197229749,0.0
ᴺp₁D_seg2,21,0.0734513877955661,2402.0544232254,807.7408035024253
ᴺp₂D_seg2,22,0.49001999077675334,2413.654296792156,819.3406770691811
ᴺp₂D_seg2,22,0.49999999077675333,1594.3136197229749,0.0
ᴺp₂D_seg2,22,0.5,2423.3562548360483,829.0426351130734
ᴺp₃D_seg2,23,0.2561794550059884,2419.2252788591163,824.9116591361415
ᴺp₃D_seg2,23,0.26615945500598837,1594.3136197229749,0.0
ᴺp₃D_seg2,23,0.27613945500598835,2427.632436769778,833.3188170468031
ν_seg2,24,0.06004691505031199,2423.356245390711,829.0426256677363
ν_seg2,24,0.06204491505031199,1594.3136197229749,0.0
ν_seg2,24,0.064042915050312,2423.356245390711,829.0426256677363
ᴺp₁_seg3,25,0.0025877858502136547,2331.6098609035016,737.2962411805267
ᴺp₁_seg3,25,0.0027239851054880575,1594.3136197229749,0.0
ᴺp₁_seg3,25,0.0028601843607624603,2516.389446773051,922.0758270500762
ᴺβ_seg3,26,0.17287624703552823,1624.6707530542199,30.357133331244995
ᴺβ_seg3,26,0.18197499687950341,1594.3136197229749,0.0
ᴺβ_seg3,26,0.1910737467234786,2663.536734482475,1069.2231147595
ᴺp₁₂_seg3,27,0.49002,2414.395471250142,820.0818515271669
ᴺp₁₂_seg3,27,0.5,1594.3136197229749,0.0
ᴺp₂₃_seg3,28,0.4900199967562745,2417.296335721021,822.9827159980462
ᴺp₂₃_seg3,28,0.4999999967562745,1594.3136197229749,0.0
ᴺp₂₃_seg3,28,0.5,2423.356247409065,829.0426276860901
ᴺp₁D_seg3,29,0.001,2423.3562440468672,829.0426243238924
ᴺp₁D_seg3,29,0.0010000002902183234,1594.3136197229749,0.0
ᴺp₁D_seg3,29,0.0010500003047292396,2423.5906174100287,829.2769976870538
ᴺp₂D_seg3,30,0.2171352246903281,2408.8264785712836,814.5128588483087
ᴺp₂D_seg3,30,0.22711522469032808,1594.3136197229749,0.0
ᴺp₂D_seg3,30,0.23709522469032807,2439.2891440661915,844.9755243432166
ᴺp₃D_seg3,31,0.4900199999752544,2418.1074160918,823.7937963688253
ᴺp₃D_seg3,31,0.4999999999752544,1594.3136197229749,0.0
ᴺp₃D_seg3,31,0.5,2423.356245327758,829.0426256047833
ν_seg3,32,0.010379320979199491,2423.4369143053445,829.1232945823697
ν_seg3,32,0.010925601030736308,1594.3136197229749,0.0
ν_seg3,32,0.011471881082273124,2423.377312921045,829.06369319807
