parameter,value
δ_global,0.29999999999998456
ᴺε₀_global,0.33333333333333326
ᴺε₁_global,0.08928571428571427
ᴺγ₀_global,0.19999999302368215
ᴺγ₁_global,0.09174311926605475
ᴺγ₂_global,0.052631579025605515
ᴺγ₃_global,0.06683862255570974
ω_global,0.008381981651212818
ᴺp₁_seg1,0.0002759828453887585
ᴺβ_seg1,0.8941108108260748
ᴺp₁₂_seg1,0.49999999998490674
ᴺp₂₃_seg1,0.499999999389777
ᴺp₁D_seg1,0.0010000001262425188
ᴺp₂D_seg1,0.0038647111050745414
ᴺp₃D_seg1,0.4999999941512163
ν_seg1,0.03728487990252343
ᴺp₁_seg2,0.0003750422094463456
ᴺβ_seg2,0.11410078153545954
ᴺp₁₂_seg2,0.49999999859503397
ᴺp₂₃_seg2,0.3286826360104902
ᴺp₁D_seg2,0.06995370266244391
ᴺp₂D_seg2,0.49999999077675333
ᴺp₃D_seg2,0.26615945500598837
ν_seg2,0.06204491505031199
ᴺp₁_seg3,0.0027239851054880575
ᴺβ_seg3,0.18197499687950341
ᴺp₁₂_seg3,0.5
ᴺp₂₃_seg3,0.4999999967562745
ᴺp₁D_seg3,0.0010000002902183234
ᴺp₂D_seg3,0.22711522469032808
ᴺp₃D_seg3,0.4999999999752544
ν_seg3,0.010925601030736308
