parameter,value
δ_global,0.2999999983252158
ᴺε₀_global,0.23580195686021022
ᴺε₁_global,0.08928571422128743
ᴺγ₀_global,0.19999999752188005
ᴺγ₁_global,0.09174311922502656
ᴺγ₂_global,0.052631578947370763
ᴺγ₃_global,0.06674675876563849
ω_global,0.007827483089932516
ᴺp₁_seg1,0.00027735611248140644
ᴺβ_seg1,1.1458414461412423
ᴺp₁₂_seg1,0.499999999738438
ᴺp₂₃_seg1,0.49999999996690625
ᴺp₁D_seg1,0.001000000020377149
ᴺp₂D_seg1,0.003142036459007175
ᴺp₃D_seg1,0.4999999974801421
ν_seg1,0.044449434239443586
ᴺp₁_seg2,0.00037066310937966025
ᴺβ_seg2,0.11413185203724968
ᴺp₁₂_seg2,0.49999999780793003
ᴺp₂₃_seg2,0.3215495667696065
ᴺp₁D_seg2,0.07934419477225678
ᴺp₂D_seg2,0.49999999690948493
ᴺp₃D_seg2,0.21933149355644496
ν_seg2,0.06413630404717947
ᴺp₁_seg3,0.0027813657577217816
ᴺβ_seg3,0.19670086960820288
ᴺp₁₂_seg3,0.49999999968519493
ᴺp₂₃_seg3,0.49999999720999966
ᴺp₁D_seg3,0.0010000003037049484
ᴺp₂D_seg3,0.2310853771338786
ᴺp₃D_seg3,0.4999999971674692
ν_seg3,0.011915167139817374
