parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,n_failed,best_found_loss
δ_global,1,0.29999999996540005,1594.2781341174525,0.27856887283850645,0.3,false,1598.1195929381465,0,1594.2781341174525
ᴺε₀_global,2,0.3333333332554672,1594.2781341174525,0.26924563955055164,0.3333333333333333,false,1598.1195929381465,0,1594.2781341174525
ᴺε₁_global,3,0.08928571428438566,1594.2781341174525,0.08547008547008547,0.08928571428571429,false,1598.1195929381465,0,1594.2781341174525
ᴺγ₀_global,4,0.1999999999183168,1594.2781341174525,0.13525623572076917,0.2,false,1598.1195929381465,0,1594.2781341153363
ᴺγ₁_global,5,0.09174311926522578,1594.2781341174525,0.09121340946113982,0.09174311926605504,false,1598.1195929381465,0,1594.2781341174525
ᴺγ₂_global,6,0.05263157894914912,1594.2781341174525,0.05263157894736842,0.054005847502980785,false,1598.1195929381465,0,1594.2781341174525
ᴺγ₃_global,7,0.06617592117016968,1594.2781341174525,0.05472145317910576,0.0783033823770422,true,1598.1195929381465,0,1594.2781341174525
ω_global,8,0.008392253695169594,1594.2781341174525,0.006678364423454306,0.010444743587520126,true,1598.1195929381465,0,1594.2781341174525
ᴺp₁_seg1,9,0.0002761274528274669,1594.2781341174525,0.00023966553841246122,0.0003197342945250901,true,1598.1195929381465,0,1594.2781341174525
ᴺβ_seg1,10,0.8940974294687527,1594.2781341174525,0.8817846011690195,1.0371916661403227,true,1598.1195929381465,0,1594.2781341174525
ᴺp₁₂_seg1,11,0.4999999999999946,1594.2781341174525,0.4940407625654942,0.5,false,1598.1195929381465,0,1594.2781341174525
ᴺp₂₃_seg1,12,0.49999999997849054,1594.2781341174525,0.48446712642559936,0.5,false,1598.1195929381465,0,1594.2781341126815
ᴺp₁D_seg1,13,0.0010000000029353458,1594.2781341174525,0.001,0.0018952198805161002,false,1598.1195929381465,0,1594.2781341174525
ᴺp₂D_seg1,14,0.004248713808788366,1594.2781341174525,0.001,0.018298986918856862,false,1598.1195929381465,0,1594.2781341174525
ᴺp₃D_seg1,15,0.49999999991879795,1594.2781341174525,0.40544080351700185,0.5,false,1598.1195929381465,0,1594.2781341147954
ν_seg1,16,0.0444494345927804,1594.2781341174525,0.0001,0.1,false,1598.1195929381465,0,1594.2781341174525
ᴺp₁_seg2,17,0.00037488720868360134,1594.2781341174525,0.00032921372912685353,0.00042609132396451507,true,1598.1195929381465,0,1594.2781341174525
ᴺβ_seg2,18,0.1140274715867967,1594.2781341174525,0.09225010300710376,0.14102183959653725,true,1598.1195929381465,0,1594.2781341174525
ᴺp₁₂_seg2,19,0.49999999995172106,1594.2781341174525,0.472391209178807,0.5,false,1598.1195929381465,0,1594.2781341174525
ᴺp₂₃_seg2,20,0.31736009987519026,1594.2781341174525,0.20623479890068974,0.47354711550133355,true,1598.1195929381465,0,1594.2781341174525
ᴺp₁D_seg2,21,0.06942617042572469,1594.2781341174525,0.023478317957330925,0.12002862105564509,true,1598.1195929381465,0,1594.2781341174525
ᴺp₂D_seg2,22,0.499999999914565,1594.2781341174525,0.36508228789149344,0.5,false,1598.1195929381465,0,1594.2781341174525
ᴺp₃D_seg2,23,0.2773956967054648,1594.2781341174525,0.049067707826457016,0.5,false,1598.1195929381465,0,1594.2781341174525
ν_seg2,24,0.06413630309383714,1594.2781341174525,0.0001,0.1,false,1598.1195929381465,0,1594.2780426299375
ᴺp₁_seg3,25,0.002720405579490191,1594.2781341174525,0.0024358074121846843,0.0030868262880213815,true,1598.1195929381465,0,1594.2781341174525
ᴺβ_seg3,26,0.1818360106767276,1594.2781341174525,0.16168159770723503,0.20735446002826521,true,1598.1195929381465,0,1594.2781341174525
ᴺp₁₂_seg3,27,0.4999999999989664,1594.2781341174525,0.49309459225012126,0.5,false,1598.1195929381465,0,1594.2781341174525
ᴺp₂₃_seg3,28,0.4999999999398063,1594.2781341174525,0.45760944289300765,0.5,false,1598.1195929381465,0,1594.2781341140644
ᴺp₁D_seg3,29,0.00100000000156487,1594.2781341174525,0.001,0.00814484241070121,false,1598.1195929381465,0,1594.2781341174525
ᴺp₂D_seg3,30,0.22799812578233847,1594.2781341174525,0.19353642564304635,0.26940887201392366,true,1598.1195929381465,0,1594.2781341174525
ᴺp₃D_seg3,31,0.49999999992523764,1594.2781341174525,0.42132007916213376,0.5,false,1598.1195929381465,0,1594.2781341152115
ν_seg3,32,0.010929152525119747,1594.2781341174525,0.0063675376021246725,0.017672045270161082,true,1598.1195929381465,0,1594.2781341174525
