parameter,value
δ_global,0.10173124836356046
ᴺε₀_global,0.14292325447751109
ᴺε₁_global,0.08760060810793345
ᴺγ₀_global,0.08240618904666583
ᴺγ₁_global,0.0886110816092162
ᴺγ₂_global,0.10291771994325966
ᴺγ₃_global,0.09881740099202617
ω_global,0.003212123022021091
ᴺp₁_seg1,0.002309140285239252
ᴺβ_seg1,1.5861225951342177
ᴺp₁₂_seg1,0.17829753572690396
ᴺp₂₃_seg1,0.24742808350246948
ᴺp₁D_seg1,0.02076019174266205
ᴺp₂D_seg1,0.020592966086210678
ᴺp₃D_seg1,0.2723490606162804
ν_seg1,0.0025552557605844307
ᴺp₁_seg2,0.02825209999836118
ᴺβ_seg2,0.11461362382498191
ᴺp₁₂_seg2,0.496002887886838
ᴺp₂₃_seg2,0.48039739207391546
ᴺp₁D_seg2,0.4309340573080381
ᴺp₂D_seg2,0.05680987063744368
ᴺp₃D_seg2,0.2619011584197336
ν_seg2,0.006237610567485906
ᴺp₁_seg3,0.09075429711675215
ᴺβ_seg3,0.06319118770345812
ᴺp₁₂_seg3,0.29645565368815535
ᴺp₂₃_seg3,0.49429740465981054
ᴺp₁D_seg3,0.09656861623209669
ᴺp₂D_seg3,0.05792126622747586
ᴺp₃D_seg3,0.05005814267638232
ν_seg3,0.012725454101970103
