parameter,value
δ_global,0.10789217692232773
ᴺε₀_global,0.3034160617652277
ᴺε₁_global,0.08649803120700746
ᴺγ₀_global,0.06434105978908798
ᴺγ₁_global,0.08587782480686978
ᴺγ₂_global,0.14674953992707554
ᴺγ₃_global,0.0936811369767321
ω_global,0.0035382818027411716
ᴺp₁_seg1,0.004810526693367009
ᴺβ_seg1,0.7321658015314645
ᴺp₁₂_seg1,0.16811395331720752
ᴺp₂₃_seg1,0.10749352718800592
ᴺp₁D_seg1,0.007140263609381496
ᴺp₂D_seg1,0.04148211145838634
ᴺp₃D_seg1,0.3550418945651414
ν_seg1,0.013104790237769077
ᴺp₁_seg2,0.07321947476159191
ᴺβ_seg2,0.06551701494398604
ᴺp₁₂_seg2,0.3036002192420049
ᴺp₂₃_seg2,0.4900917731326334
ᴺp₁D_seg2,0.09347972334285319
ᴺp₂D_seg2,0.04317813443157947
ᴺp₃D_seg2,0.30813902725152664
ν_seg2,0.010013026151103919
