parameter,value
δ_global,0.1436604679775796
ᴺε₀_global,0.15265803159343694
ᴺε₁_global,0.08830427856969576
ᴺγ₀_global,0.11328082501995489
ᴺγ₁_global,0.09160710969761866
ᴺγ₂_global,0.05263157894736842
ᴺγ₃_global,0.07922816235288736
ω_global,0.0033297855261002762
ᴺp₁_seg1,0.0037280312709603108
ᴺβ_seg1,1.00518477973756
ᴺp₁₂_seg1,0.1619020152676055
ᴺp₂₃_seg1,0.15500641221472197
ᴺp₁D_seg1,0.009356828227413554
ᴺp₂D_seg1,0.25934775114218034
ᴺp₃D_seg1,0.005355059766178722
ν_seg1,0.05526840689300999
ᴺp₁_seg2,0.794853889444164
ᴺβ_seg2,0.09758751121357745
ᴺp₁₂_seg2,0.4993767745269824
ᴺp₂₃_seg2,0.4994589806381915
ᴺp₁D_seg2,0.0010035069762802256
ᴺp₂D_seg2,0.0015269935966640744
ᴺp₃D_seg2,0.07583345081459271
ν_seg2,0.055955157462350726
ᴺp₁_seg3,0.1386538111975338
ᴺβ_seg3,0.04092557215678499
ᴺp₁₂_seg3,0.49378401908763975
ᴺp₂₃_seg3,0.4961496347372386
ᴺp₁D_seg3,0.1812977209923439
ᴺp₂D_seg3,0.4713258376390674
ᴺp₃D_seg3,0.4964044811781518
ν_seg3,0.04905846874293241
ᴺp₁_seg4,0.0032086560846570082
ᴺβ_seg4,0.10468194417954925
ᴺp₁₂_seg4,0.499973737880414
ᴺp₂₃_seg4,0.4926761743526138
ᴺp₁D_seg4,0.0017465270857306698
ᴺp₂D_seg4,0.19366172487518557
ᴺp₃D_seg4,0.489935500847715
ν_seg4,0.007678357349043602
