parameter,value
δ_global,0.29912559847790027
ᴺε₀_global,0.17173569369343358
ᴺε₁_global,0.08908576719100171
ᴺγ₀_global,0.10213802802613438
ᴺγ₁_global,0.0915470748303218
ᴺγ₂_global,0.05263157894736842
ᴺγ₃_global,0.0788226437285759
ω_global,0.006273205470837922
ᴺp₁_seg1,0.7995336589320181
ᴺβ_seg1,0.3937576735749745
ᴺp₁₂_seg1,0.4995166924798069
ᴺp₂₃_seg1,0.4988168431274679
ᴺp₁D_seg1,0.01830275488411335
ᴺp₂D_seg1,0.0035355210353377534
ᴺp₃D_seg1,0.042624122608661705
ν_seg1,0.04647281526938575
ᴺp₁_seg2,0.06463120909554095
ᴺβ_seg2,0.01320238959133617
ᴺp₁₂_seg2,0.49968253545699637
ᴺp₂₃_seg2,0.4989582214174267
ᴺp₁D_seg2,0.3734325387322992
ᴺp₂D_seg2,0.042391537583679875
ᴺp₃D_seg2,0.5
ν_seg2,0.012689904141188027
ᴺp₁_seg3,0.0026464299088088936
ᴺβ_seg3,0.11039872418700267
ᴺp₁₂_seg3,0.49943959079482103
ᴺp₂₃_seg3,0.48776248956969576
ᴺp₁D_seg3,0.0020293638131103795
ᴺp₂D_seg3,0.22762336174933662
ᴺp₃D_seg3,0.4907237565537392
ν_seg3,0.010186607403270874
