parameter,value
δ_global,0.1004665098020824
ᴺε₀_global,0.18314630304263996
ᴺε₁_global,0.08927084883338661
ᴺγ₀_global,0.0658519848398712
ᴺγ₁_global,0.09174311926605504
ᴺγ₂_global,0.05325361073849391
ᴺγ₃_global,0.07457291680180095
ω_global,0.007483199027709825
ᴺp₁_seg1,0.08289546071870499
ᴺβ_seg1,0.6354743798519029
ᴺp₁₂_seg1,0.48887521355379276
ᴺp₂₃_seg1,0.47610416619255136
ᴺp₁D_seg1,0.007721444529752752
ᴺp₂D_seg1,0.07547511986236705
ᴺp₃D_seg1,0.2507457651678424
ν_seg1,0.04190228190116505
ᴺp₁_seg2,0.799121522131202
ᴺβ_seg2,0.07457629493781368
ᴺp₁₂_seg2,0.4977563597664091
ᴺp₂₃_seg2,0.4996577770388715
ᴺp₁D_seg2,0.0034794096058444325
ᴺp₂D_seg2,0.00501240451471826
ᴺp₃D_seg2,0.4457085703019785
ν_seg2,0.059340830234713135
ᴺp₁_seg3,0.208798729118411
ᴺβ_seg3,0.0007381491656344396
ᴺp₁₂_seg3,0.4970203098825278
ᴺp₂₃_seg3,0.49119835330544026
ᴺp₁D_seg3,0.1551424302851372
ᴺp₂D_seg3,0.0033218417998067433
ᴺp₃D_seg3,0.33422389172498107
ν_seg3,0.0001
ᴺp₁_seg4,0.051304341827914
ᴺβ_seg4,0.051387068799605355
ᴺp₁₂_seg4,0.4661922227111765
ᴺp₂₃_seg4,0.4092204395271064
ᴺp₁D_seg4,0.4949730003602271
ᴺp₂D_seg4,0.4809729223740095
ᴺp₃D_seg4,0.4767894382628622
ν_seg4,0.05593708050184827
ᴺp₁_seg5,0.01851093786913135
ᴺβ_seg5,0.057516816635354844
ᴺp₁₂_seg5,0.4972113226551179
ᴺp₂₃_seg5,0.4884873502993264
ᴺp₁D_seg5,0.0011241767953202315
ᴺp₂D_seg5,0.17943803465020175
ᴺp₃D_seg5,0.36554147054482733
ν_seg5,0.06385746884627241
ᴺp₁_seg6,0.15118241315192582
ᴺβ_seg6,0.03866677298585504
ᴺp₁₂_seg6,0.49983631696051734
ᴺp₂₃_seg6,0.4872235009045449
ᴺp₁D_seg6,0.002790357947572945
ᴺp₂D_seg6,0.18997397295064555
ᴺp₃D_seg6,0.240355236190957
ν_seg6,0.0027305436902883016
ᴺp₁_seg7,0.06854347980534799
ᴺβ_seg7,0.029490433652256634
ᴺp₁₂_seg7,0.4989861885917774
ᴺp₂₃_seg7,0.23303360250939742
ᴺp₁D_seg7,0.27869961521025494
ᴺp₂D_seg7,0.4909065829234048
ᴺp₃D_seg7,0.20557231228082715
ν_seg7,0.0017934954536167015
