parameter,value
δ_global,0.10028385003451655
ᴺε₀_global,0.14150529753063487
ᴺε₁_global,0.08863675391084777
ᴺγ₀_global,0.07520972982522944
ᴺγ₁_global,0.09174311926605504
ᴺγ₂_global,0.05270617154581491
ᴺγ₃_global,0.05463533954939932
ω_global,0.008728810949376317
ᴺp₁_seg1,0.7955000999041018
ᴺβ_seg1,0.5811922017054698
ᴺp₁₂_seg1,0.49902945219706657
ᴺp₂₃_seg1,0.4962587540321219
ᴺp₁D_seg1,0.004952753338921135
ᴺp₂D_seg1,0.030284064784658123
ᴺp₃D_seg1,0.3699576769566416
ν_seg1,0.06301287986172315
ᴺp₁_seg2,0.005779955416357434
ᴺβ_seg2,3.665631737357232e-5
ᴺp₁₂_seg2,0.3352130958477946
ᴺp₂₃_seg2,0.23743907918112978
ᴺp₁D_seg2,0.0946623247268811
ᴺp₂D_seg2,0.3535229128627094
ᴺp₃D_seg2,0.4640930987726299
ν_seg2,0.041111909941437846
ᴺp₁_seg3,0.050864096836858025
ᴺβ_seg3,0.03731609815948611
ᴺp₁₂_seg3,0.4933369769460131
ᴺp₂₃_seg3,0.21417080147509973
ᴺp₁D_seg3,0.471262831538935
ᴺp₂D_seg3,0.4998959024930966
ᴺp₃D_seg3,0.3255378558583872
ν_seg3,0.043429973221719105
ᴺp₁_seg4,0.05102267382488043
ᴺβ_seg4,0.06905932179478712
ᴺp₁₂_seg4,0.49857167179242995
ᴺp₂₃_seg4,0.48797362649175274
ᴺp₁D_seg4,0.010145775877536718
ᴺp₂D_seg4,0.03799656909082006
ᴺp₃D_seg4,0.05568622286546964
ν_seg4,0.06914072748600252
ᴺp₁_seg5,0.23546323557768206
ᴺβ_seg5,0.05089282779526548
ᴺp₁₂_seg5,0.49874892443827107
ᴺp₂₃_seg5,0.4738679839256731
ᴺp₁D_seg5,0.04898095805394161
ᴺp₂D_seg5,0.061676035120468306
ᴺp₃D_seg5,0.18260790293146045
ν_seg5,0.06859562599696303
ᴺp₁_seg6,0.17657130727650025
ᴺβ_seg6,0.023129467547027015
ᴺp₁₂_seg6,0.49839027091432975
ᴺp₂₃_seg6,0.1740704871126742
ᴺp₁D_seg6,0.11164681529707547
ᴺp₂D_seg6,0.4653935833675461
ᴺp₃D_seg6,0.3187418586318425
ν_seg6,0.001941889019903341
