parameter,value
δ_global,0.10208566069540265
ᴺε₀_global,0.13828670637897214
ᴺε₁_global,0.08819497673105302
ᴺγ₀_global,0.07233727673158306
ᴺγ₁_global,0.09158918645150615
ᴺγ₂_global,0.05273566213143227
ᴺγ₃_global,0.05074684447127063
ω_global,0.0072518869406303765
ᴺp₁_seg1,0.026947128304086455
ᴺβ_seg1,0.9568484704446651
ᴺp₁₂_seg1,0.4828782373098258
ᴺp₂₃_seg1,0.4642322344100652
ᴺp₁D_seg1,0.0035457608254224294
ᴺp₂D_seg1,0.1446746512522301
ᴺp₃D_seg1,0.28059680219899064
ν_seg1,0.09053379327598564
ᴺp₁_seg2,0.6936837907708219
ᴺβ_seg2,0.01730014159063371
ᴺp₁₂_seg2,0.4940923343167648
ᴺp₂₃_seg2,0.48741267998435983
ᴺp₁D_seg2,0.0015959900197824541
ᴺp₂D_seg2,0.0030473435413852245
ᴺp₃D_seg2,0.06706919979090092
ν_seg2,0.060458012086376446
ᴺp₁_seg3,0.3526335295531809
ᴺβ_seg3,0.00013231812362602465
ᴺp₁₂_seg3,0.4936170325594669
ᴺp₂₃_seg3,0.49105572004213527
ᴺp₁D_seg3,0.0027212348493180533
ᴺp₂D_seg3,0.009182710447485814
ᴺp₃D_seg3,0.1830865027038353
ν_seg3,0.06936102362959834
ᴺp₁_seg4,0.19659174379484373
ᴺβ_seg4,0.004509028843630638
ᴺp₁₂_seg4,0.49620547086114464
ᴺp₂₃_seg4,0.49492433385839996
ᴺp₁D_seg4,0.07314719759664909
ᴺp₂D_seg4,0.040852616370118215
ᴺp₃D_seg4,0.22048043897370628
ν_seg4,0.05555618586952029
ᴺp₁_seg5,0.011330394936151206
ᴺβ_seg5,0.0391657298430949
ᴺp₁₂_seg5,0.22961916412354527
ᴺp₂₃_seg5,0.06901016426241346
ᴺp₁D_seg5,0.2577155875254876
ᴺp₂D_seg5,0.2660210370088901
ᴺp₃D_seg5,0.48674488800439136
ν_seg5,0.06201067106202621
ᴺp₁_seg6,0.048246597024534196
ᴺβ_seg6,0.010493303058459342
ᴺp₁₂_seg6,0.49509665991350693
ᴺp₂₃_seg6,0.22165598609698192
ᴺp₁D_seg6,0.47948882870045284
ᴺp₂D_seg6,0.41056018349337287
ᴺp₃D_seg6,0.44547652662947707
ν_seg6,0.07190835722641124
ᴺp₁_seg7,0.12369180680448974
ᴺβ_seg7,0.06801635641796266
ᴺp₁₂_seg7,0.4994639193092192
ᴺp₂₃_seg7,0.4834378729432087
ᴺp₁D_seg7,0.015280110217633555
ᴺp₂D_seg7,0.014564266218068452
ᴺp₃D_seg7,0.11284496614344652
ν_seg7,0.0660723838494461
ᴺp₁_seg8,0.5002410907914859
ᴺβ_seg8,0.05483302151158195
ᴺp₁₂_seg8,0.49589444938381483
ᴺp₂₃_seg8,0.4900924940646091
ᴺp₁D_seg8,0.05625432120170825
ᴺp₂D_seg8,0.04885501826678462
ᴺp₃D_seg8,0.001
ν_seg8,0.04467084639955981
ᴺp₁_seg9,0.30308523119950415
ᴺβ_seg9,0.024577173055664894
ᴺp₁₂_seg9,0.4967680063600187
ᴺp₂₃_seg9,0.1523329973162755
ᴺp₁D_seg9,0.1421038691376498
ᴺp₂D_seg9,0.43213104498931876
ᴺp₃D_seg9,0.23339739637635887
ν_seg9,0.0019592004646169655
