parameter,value
δ_global,0.10485647536878957
ᴺε₀_global,0.13677178201659873
ᴺε₁_global,0.0884918641984854
ᴺγ₀_global,0.07759795187085901
ᴺγ₁_global,0.09163613588101426
ᴺγ₂_global,0.05263157894736842
ᴺγ₃_global,0.04251366341193557
ω_global,0.007127122576725992
ᴺp₁_seg1,0.042620310468341076
ᴺβ_seg1,0.896532942501306
ᴺp₁₂_seg1,0.4864170400846618
ᴺp₂₃_seg1,0.49814472045316205
ᴺp₁D_seg1,0.007463490142974295
ᴺp₂D_seg1,0.07103259686920131
ᴺp₃D_seg1,0.1942060258833165
ν_seg1,0.005890430324025316
ᴺp₁_seg2,0.5956722024194218
ᴺβ_seg2,0.04174819519393274
ᴺp₁₂_seg2,0.49627204124991003
ᴺp₂₃_seg2,0.49628656330454785
ᴺp₁D_seg2,0.0018383579534205793
ᴺp₂D_seg2,0.00655396040749442
ᴺp₃D_seg2,0.3149770036209995
ν_seg2,0.0367821756823851
ᴺp₁_seg3,0.05887710498692273
ᴺβ_seg3,0.029830245998457457
ᴺp₁₂_seg3,0.49473379623077296
ᴺp₂₃_seg3,0.3095258275757965
ᴺp₁D_seg3,0.22788483883445024
ᴺp₂D_seg3,0.07049762878223145
ᴺp₃D_seg3,0.112454840873457
ν_seg3,0.07968348838246708
ᴺp₁_seg4,0.022798873214761085
ᴺβ_seg4,0.03030687838427459
ᴺp₁₂_seg4,0.2676400408920865
ᴺp₂₃_seg4,0.019522947294164903
ᴺp₁D_seg4,0.21932734384502284
ᴺp₂D_seg4,0.48128370331441445
ᴺp₃D_seg4,0.4739122993293745
ν_seg4,0.05464600159767368
ᴺp₁_seg5,0.04057940864243715
ᴺβ_seg5,0.026934203562294583
ᴺp₁₂_seg5,0.498900470944482
ᴺp₂₃_seg5,0.22128336089359085
ᴺp₁D_seg5,0.37757098792838223
ᴺp₂D_seg5,0.2789799618008064
ᴺp₃D_seg5,0.19512973099867886
ν_seg5,0.03539446217953174
ᴺp₁_seg6,0.06584950783188748
ᴺβ_seg6,0.06949588502705013
ᴺp₁₂_seg6,0.49622574558700244
ᴺp₂₃_seg6,0.3955645347148975
ᴺp₁D_seg6,0.006312157406865403
ᴺp₂D_seg6,0.005075546312470792
ᴺp₃D_seg6,0.37007885854073463
ν_seg6,0.03477773037770663
ᴺp₁_seg7,0.3485355306732457
ᴺβ_seg7,0.060207780158495726
ᴺp₁₂_seg7,0.4987628948443106
ᴺp₂₃_seg7,0.4899602529498184
ᴺp₁D_seg7,0.007794972355976454
ᴺp₂D_seg7,0.06478692494012953
ᴺp₃D_seg7,0.2677436325706305
ν_seg7,0.04242641284064838
ᴺp₁_seg8,0.19013917285785234
ᴺβ_seg8,0.04773324616790459
ᴺp₁₂_seg8,0.4934961177888307
ᴺp₂₃_seg8,0.3004892297365322
ᴺp₁D_seg8,0.04430688613145303
ᴺp₂D_seg8,0.15769024581082067
ᴺp₃D_seg8,0.17191205603438123
ν_seg8,0.07790844785191683
ᴺp₁_seg9,0.23451599737510084
ᴺβ_seg9,0.019673383011422307
ᴺp₁₂_seg9,0.49732771055578084
ᴺp₂₃_seg9,0.1332747278607504
ᴺp₁D_seg9,0.3341319749867467
ᴺp₂D_seg9,0.11122791953266434
ᴺp₃D_seg9,0.2831261613820777
ν_seg9,0.001971762811876544
