parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,relative_width,n_failed,best_found_loss
θ1_global,1,1.00000012958546e-12,110332.83012098646,1.0e-12,1.4699003317010417,false,110336.67157980715,1.4699001412223557e12,0,83562.52484098569
θ2_global,2,68.47218235147011,110332.83012098646,17.592887287366004,120.0,false,110336.67157980715,1.495601705623675,0,109140.19133992697
θ3_global,3,18.752384104133046,110332.83012098646,6.325508311568675,120.0,false,110336.67157980715,6.061868776641438,0,104417.4351721948
θ4_seg1,4,1.0010095188570824e-12,110332.83012098646,1.0e-12,0.16023001791794847,false,110336.67157980715,1.6006842582265698e11,0,101566.50470809046
θ5_seg1,5,1.0000046789491905e-12,110332.83012098646,1.0e-12,1.5979034471688371,false,110336.67157980715,1.5978959706937786e12,0,85834.4137270547
θ6_seg1,6,9.538648241989039,110332.83012098646,1.0e-12,20.988422392979764,false,110336.67157980715,2.200356052610047,0,109826.52057663808
θ7_seg1,7,88.68648220706437,110332.83012098646,1.0e-12,323.21725346985414,false,110336.67157980715,3.64449288579525,0,95284.54253524302
θ4_seg2,8,0.1417961650351619,110332.83012098646,1.0e-12,0.38700976390951264,false,110336.67157980715,2.7293387223310583,0,109157.70719405494
θ5_seg2,9,0.4203475248156153,110332.83012098646,1.0e-12,2.983553149781507,false,110336.67157980715,7.09782495112642,0,84040.33053962592
θ6_seg2,10,4.257442124203795,110332.83012098646,0.3068497286874792,12.084376171526468,true,110336.67157980715,2.766338589991182,0,108996.63392713989
θ7_seg2,11,0.4970447324210812,110332.83012098646,1.0e-12,10.557909002184044,false,110336.67157980715,21.241365843987467,0,83524.7872936471
θ4_seg3,12,0.184892810836673,110332.83012098646,1.0e-12,0.3895488382375269,false,110336.67157980715,2.106890129874433,0,109319.12527391134
θ5_seg3,13,1.0000035880891158e-12,110332.83012098646,1.0e-12,1.3685750978467497,false,110336.67157980715,1.3685701872939563e12,0,91196.60228862897
θ6_seg3,14,5.159674842444721,110332.83012098646,1.0e-12,10.907062598795601,false,110336.67157980715,2.113905029260854,0,108760.67355572496
θ7_seg3,15,1.000006106468269e-12,110332.83012098646,1.0e-12,7.921372347393218,false,110336.67157980715,7.92132397607871e12,0,83430.89184909064
θ4_seg4,16,0.19273131266493257,110332.83012098646,1.0e-12,0.5352413132525947,false,110336.67157980715,2.77713727909965,0,109061.97192632161
θ5_seg4,17,1.3740221157316783,110332.83012098646,1.0e-12,3.647696059590673,false,110336.67157980715,2.6547578949609876,0,107972.67486038608
θ6_seg4,18,2.247380508278093,110332.83012098646,1.0e-12,9.351962154224196,false,110336.67157980715,4.161272254420556,0,84235.34509031517
θ7_seg4,19,0.659973330940125,110332.83012098646,1.0e-12,1.317099664108773,false,110336.67157980715,1.9956861927005118,0,103554.714760746
θ4_seg5,20,0.224761745088789,110332.83012098646,0.04821476878331368,0.45138912607442133,true,110336.67157980715,1.7937854910845226,0,109336.62876684815
θ5_seg5,21,1.000004344333768e-12,110332.83012098646,1.0e-12,0.5667118795993281,false,110336.67157980715,5.667094176234685e11,0,89106.82629581529
θ6_seg5,22,5.0449958327390885,110332.83012098646,1.0e-12,10.965416914166868,false,110336.67157980715,2.1735234830139385,0,109262.772404223
θ7_seg5,23,1.033369878455902e-12,110332.83012098646,1.0e-12,8.177265165122321,false,110336.67157980715,7.91320255757801e12,0,83428.96558205503
