cp_index,original_cp,candidate_cp,loss,delta_loss
1,140,133,105685.86872596151,-4134.354534265323
1,140,134,106412.54981216544,-3407.673448061396
1,140,135,107234.22017241639,-2586.0030878104444
1,140,136,108056.67442056592,-1763.5488396609144
1,140,137,108904.22482140621,-915.9984388206212
1,140,138,109405.80044027581,-414.4228199510253
1,140,139,109694.45073191539,-125.77252831144142
1,140,140,109820.22326022683,0.0
1,140,141,110004.83608631245,184.61282608562033
1,140,142,110382.02112655545,561.7978663286194
1,140,143,110892.83215731816,1072.608897091326
1,140,144,111281.32175127725,1461.0984910504194
1,140,145,111791.67651032601,1971.4532500991772
1,140,146,111923.10650217792,2102.8832419510873
1,140,147,112211.50990213477,2391.2866419079364
2,500,493,109719.78257332798,-100.44068689885898
2,500,494,109812.16065903599,-8.06260119084618
2,500,495,109755.48886140937,-64.7343988174689
2,500,496,109753.00837055137,-67.21488967546611
2,500,497,109820.43993539875,0.2166751719196327
2,500,498,109773.88593436929,-46.33732585754478
2,500,499,109818.65940732861,-1.5638528982235584
2,500,500,109820.22326022683,0.0
2,500,501,109816.60840611588,-3.614854110957822
2,500,502,109857.12417889488,36.90091866804869
2,500,503,109869.89485094667,49.671590719837695
2,500,504,109807.87953757306,-12.343722653778968
2,500,505,109896.16269472704,75.93943450020743
2,500,506,109885.59139280638,65.36813257954782
2,500,507,109916.93553108291,96.71227085607825
3,1150,1143,110089.6637308962,269.44047066936037
3,1150,1144,110021.33631847493,201.11305824809824
3,1150,1145,109966.96102723741,146.73776701057795
3,1150,1146,109971.63937074531,151.41611051847576
3,1150,1147,109937.60640407444,117.38314384760452
3,1150,1148,109882.90093216047,62.677671933633974
3,1150,1149,109842.99206742094,22.768807194108376
3,1150,1150,109820.22326022683,0.0
3,1150,1151,109816.45516708211,-3.768093144724844
3,1150,1152,109805.0000108552,-15.223249371629208
3,1150,1153,109819.76621427402,-0.4570459528185893
3,1150,1154,109808.3086896532,-11.914570573630044
3,1150,1155,109792.3305695604,-27.89269066642737
3,1150,1156,109796.4111916644,-23.812068562430795
3,1150,1157,109780.72530298322,-39.4979572436132
4,1860,1853,110625.80247980576,805.5792195789254
4,1860,1854,110548.96499030487,728.7417300780362
4,1860,1855,110482.46537432974,662.2421141029045
4,1860,1856,110359.67479833303,539.4515381061938
4,1860,1857,110202.76118385412,382.53792362728564
4,1860,1858,110048.29757936677,228.07431913993787
4,1860,1859,109935.99439685265,115.77113662581542
4,1860,1860,109820.22326022683,0.0
4,1860,1861,109673.4402116391,-146.7830485877348
4,1860,1862,109542.36751382776,-277.8557463990728
4,1860,1863,109486.92576318546,-333.29749704137794
4,1860,1864,109398.09404862192,-422.1292116049153
4,1860,1865,109295.21442406427,-525.0088361625676
4,1860,1866,109185.6584018202,-634.5648584066366
4,1860,1867,109082.43831554036,-737.7849446864711
