parameter,index,value,loss,delta_loss
θ1_global,1,1.0e-12,109817.53501962121,-2.688240605624742
θ1_global,1,1.0000000002117192e-12,109820.22326022683,0.0
θ1_global,1,0.000100000000999999,109818.82283777343,-1.4004224534000969
θ1_global,1,0.0002500000009999975,109818.07659569026,-2.1466645365726436
θ1_global,1,0.0004750000009999953,109816.4085976076,-3.8146626192319673
θ1_global,1,0.0008125000009999918,108816.83597847879,-1003.3872817480442
θ1_global,1,0.0013187500009999866,83884.53750726854,-25935.685752958292
θ1_global,1,0.002078125000999979,84220.5685558223,-25599.65470440453
θ1_global,1,0.003217187500999967,84739.74226562363,-25080.480994603204
θ1_global,1,0.00492578125099995,85526.24714622187,-24293.976114004967
θ1_global,1,0.007488671875999924,86695.511885968,-23124.71137425884
θ1_global,1,0.011333007813499885,88370.30439612438,-21449.918864102452
θ1_global,1,0.017099511719749827,90607.04988417371,-19213.17337605312
θ1_global,1,0.02574926757912474,93390.46684046298,-16429.756419763857
θ1_global,1,0.03872390136818711,96619.61247701064,-13200.610783216194
θ1_global,1,0.058185852051780666,100103.32161628519,-9716.901643941645
θ1_global,1,0.087378778077171,103510.3601716948,-6309.863088532031
θ1_global,1,0.1311681671152565,106554.2164524559,-3266.0068077709293
θ1_global,1,0.19685225067238477,108857.15024608596,-963.0730141408712
θ1_global,1,0.29537837600807715,110083.40480699667,263.1815467698325
θ2_global,2,66.61780047214609,109878.30788871521,58.08462848837371
θ2_global,2,76.74280047214599,109799.15963174128,-21.063628485557274
θ2_global,2,83.49280047214592,109803.96117446819,-16.26208575864439
θ2_global,2,87.99280047214587,109809.39815353227,-10.825106694566784
θ2_global,2,90.99280047214584,109810.57966096263,-9.643599264207296
θ2_global,2,92.99280047214583,109820.90339011555,0.6801298887148732
θ2_global,2,94.99280047214582,109823.96506329736,3.7418030705302954
θ2_global,2,97.99280047214579,109817.79265479775,-2.430605429079151
θ2_global,2,99.99280047214577,109820.1536029767,-0.06965725013287738
θ2_global,2,100.0,109820.13966936857,-0.08359085826668888
θ3_global,3,83.75000000000014,109825.76588532902,5.542625102185411
θ3_global,3,90.50000000000007,109820.14640999842,-0.07685022841906175
θ3_global,3,95.00000000000003,109819.84667515349,-0.376585073347087
θ3_global,3,98.0,109820.18199300469,-0.04126722214277834
θ3_global,3,99.99999999999999,109820.22326022683,0.0
θ3_global,3,100.0,109812.61025175147,-7.613008475367678
θ4_seg1,4,1.0e-12,109819.1745814018,-1.0486788250273094
