parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,relative_width,n_failed,best_found_loss
θ1_global,1,1.0000000002117192e-12,109820.22326022683,1.0e-12,0.2745411250616915,false,109824.06471904753,2.7454112500256586e11,0,83884.53750726854
θ2_global,2,99.99280047214577,109820.22326022683,73.5568300084016,100.0,false,109824.06471904753,0.2644507391206076,0,109799.15963174128
θ3_global,3,99.99999999999999,109820.22326022683,85.79340649696043,100.0,false,109824.06471904753,0.14206593503039572,0,109812.61025175147
θ4_seg1,4,1.000000000000001e-12,109820.22326022683,1.0e-12,0.005554026546499995,false,109824.06471904753,5.554026545499989e9,0,109815.0672954923
θ5_seg1,5,1.0000000250219296e-12,109820.22326022683,1.0e-12,0.30525430147325294,false,109824.06471904753,3.0525429383420154e11,0,90399.94351434993
θ6_seg1,6,1.0000003506894688e-12,109820.22326022683,1.0e-12,4.0560578665462685,false,109824.06471904753,4.056056444128989e12,0,101465.98526240754
θ7_seg1,7,242.05262422250402,109820.22326022683,130.1564874824647,242.4481838262165,true,109824.06471904753,0.4639143934276415,0,109754.05263708413
θ4_seg2,8,0.2623990672327814,109820.22326022683,0.21844638121801746,0.26343726713138543,true,109824.06471904753,0.17145977837434662,0,109814.38432836701
θ5_seg2,9,1.0000025662987905e-12,109820.22326022683,1.0e-12,0.3235779343967481,false,109824.06471904753,3.2357710400021747e11,0,109803.94454337565
θ6_seg2,10,9.890868311660018,109820.22326022683,8.687653447254153,9.913289883365659,true,109824.06471904753,0.12391595939727995,0,109812.69869900227
θ7_seg2,11,1.0000016033554839e-12,109820.22326022683,1.0e-12,6.297675371568883,false,109824.06471904753,6.2976652741717295e12,0,95258.66220234439
θ4_seg3,12,0.27734838155390645,109820.22326022683,0.27565325372111465,0.27821005608243826,true,109824.06471904753,0.009218739071050456,0,109820.22326022683
θ5_seg3,13,1.0000000893338104e-12,109820.22326022683,1.0e-12,0.04566466509801208,false,109824.06471904753,4.5664661017613914e10,0,109813.40943867066
θ6_seg3,14,8.910708443919262,109820.22326022683,8.364596976220716,8.989542545702692,true,109824.06471904753,0.07013421810568209,0,109818.27851953694
θ7_seg3,15,1.5918650560092875,109820.22326022683,0.5055274562258225,2.448464073645994,true,109824.06471904753,1.2205410314684588,0,109810.87878922062
θ4_seg4,16,0.3156215913097731,109820.22326022683,0.30067922421899124,0.3243797607090261,true,109824.06471904753,0.07509161965656994,0,109798.02169806101
θ5_seg4,17,1.7611517313321878,109820.22326022683,1.6269984621478346,1.87302494347625,true,109824.06471904753,0.13969635719138954,0,109820.22326022683
θ6_seg4,18,6.300146623555049,109820.22326022683,5.9167624641850045,6.51458402007963,true,109824.06471904753,0.09489010202706777,0,109820.22326022683
θ7_seg4,19,0.5467657935153696,109820.22326022683,0.40781099002149157,0.6958799707897521,true,109824.06471904753,0.5268599173261245,0,109819.46422283511
θ4_seg5,20,0.33212114853641406,109820.22326022683,0.330839620220206,0.3326252321857939,true,109824.06471904753,0.005376387422049626,0,109820.22326022683
θ5_seg5,21,1.0000000348956227e-12,109820.22326022683,1.0e-12,0.06325044406879685,false,109824.06471904753,6.3250441860633286e10,0,109756.5178845915
θ6_seg5,22,9.421698788141134,109820.22326022683,9.368893538145686,9.430612850514855,true,109824.06471904753,0.006550762633895009,0,109820.22326022683
θ7_seg5,23,1.0000015827421988e-12,109820.22326022683,1.0e-12,4.747367329882954,false,109824.06471904753,4.747359816035241e12,0,101891.10854328863
