cp_index,original_cp,candidate_cp,loss,delta_loss
1,140,133,137443.34979350484,-9769.797319281584
1,140,134,138658.01253463712,-8555.1345781493
1,140,135,139728.39971701562,-7484.747395770799
1,140,136,140797.28993735873,-6415.857175427693
1,140,137,141939.06436630036,-5274.082746486063
1,140,138,142730.7400239015,-4482.407088884909
1,140,139,143325.53835218085,-3887.608760605566
1,140,140,143877.77088015602,-3335.3762326303986
1,140,141,144616.81543312094,-2596.3316796654835
1,140,142,145331.48344760845,-1881.66366517797
1,140,143,146034.96186514685,-1178.1852476395725
1,140,144,146806.348730395,-406.79838239142555
1,140,145,147717.62677167373,504.47965888731414
1,140,146,148515.2970082373,1302.149895450886
1,140,147,149423.96212466096,2210.81501187454
2,500,493,144199.97187502478,-3013.175237761636
2,500,494,144199.59880618512,-3013.5483066012966
2,500,495,144053.2710858179,-3159.87602696853
2,500,496,144072.65317803,-3140.493934756407
2,500,497,144085.1952370346,-3127.951875751809
2,500,498,143878.3604964441,-3334.786616342317
2,500,499,143982.46003187608,-3230.687080910342
2,500,500,143877.77088015602,-3335.3762326303986
2,500,501,143874.20128683458,-3338.9458259518433
2,500,502,143799.10311176814,-3414.0440010182792
2,500,503,143655.30343687496,-3557.8436759114556
2,500,504,143602.8716163579,-3610.2754964285123
2,500,505,143597.1645119647,-3615.982600821735
2,500,506,143611.85347612057,-3601.293636665854
2,500,507,143482.68946682577,-3730.457645960647
3,1150,1143,144104.0903199312,-3109.0567928552337
3,1150,1144,144063.02099523,-3150.126117556414
3,1150,1145,144020.37355583365,-3192.773556952772
3,1150,1146,143944.42950337674,-3268.7176094096794
3,1150,1147,143919.4116578267,-3293.7354549597076
3,1150,1148,143894.83712283205,-3318.309989954374
3,1150,1149,143887.15044011036,-3325.9966726760613
3,1150,1150,143877.77088015602,-3335.3762326303986
3,1150,1151,144041.78951785827,-3171.3575949281512
3,1150,1152,144053.52360348922,-3159.6235092972056
3,1150,1153,144077.03907814054,-3136.1080346458766
3,1150,1154,144089.12026964803,-3124.0268431383884
3,1150,1155,144097.0663370415,-3116.080775744922
3,1150,1156,144115.84888883008,-3097.2982239563426
3,1150,1157,144053.3725069921,-3159.774605794315
4,1860,1853,144116.433100465,-3096.714012321434
4,1860,1854,144125.9947183936,-3087.1523943928187
4,1860,1855,144182.68379238393,-3030.4633204024867
4,1860,1856,144004.98480064268,-3208.162312143744
4,1860,1857,144003.02907004973,-3210.1180427366926
4,1860,1858,143951.0886077417,-3262.058505044726
4,1860,1859,143957.30595508474,-3255.8411577016814
4,1860,1860,143877.77088015602,-3335.3762326303986
4,1860,1861,143908.5900260439,-3304.557086742512
4,1860,1862,143721.56029290654,-3491.5868198798853
4,1860,1863,143844.30486820833,-3368.842244578089
4,1860,1864,143891.0332221076,-3322.1138906788256
4,1860,1865,143741.11899756535,-3472.0281152210664
4,1860,1866,143823.86661135653,-3389.280501429894
4,1860,1867,143528.1858362335,-3684.961276552931
