parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,relative_width
θ1_global,1,1.167680007545576,147213.14711278642,0.0,1.2260640079228549,false,147216.9885716071,1.05
θ2_global,2,81.59150616032262,147213.14711278642,76.84150616032262,82.59150616032262,true,147216.9885716071,0.07047302189398956
θ3_global,3,1.0818937557251695,147213.14711278642,0.0,1.1630357874045574,false,147216.9885716071,1.0750000000000002
θ4_seg1,4,1.4958331152579094,147213.14711278642,0.5095181548847253,1.5706247710208048,true,147216.9885716071,0.7093750000000001
θ5_seg1,5,1.4931141415000062,147213.14711278642,0.0,1.5677698485750065,false,147216.9885716071,1.05
θ6_seg1,6,1.5594485606575417,147213.14711278642,0.0,1.6374209886904187,false,147216.9885716071,1.05
θ7_seg1,7,1.5232415647004824,147213.14711278642,0.0,1.810989656225683,false,147216.9885716071,1.1889050943681287
θ4_seg2,8,0.1683763708711513,147213.14711278642,0.1473293245122574,0.17679518941470884,true,147216.9885716071,0.17499999999999988
θ5_seg2,9,1.2346389429534588,147213.14711278642,1.1729069958057858,1.2963708901011317,true,147216.9885716071,0.1
θ6_seg2,10,1.5021013711416165,147213.14711278642,1.4269963025845356,1.8588504467877505,true,147216.9885716071,0.2875000000000001
θ7_seg2,11,1.4776773172396498,147213.14711278642,1.4037934513776673,3.8546598142681177,true,147216.9885716071,1.65859375
θ4_seg3,12,0.11563369125370399,147213.14711278642,0.10985200669101879,0.13876042950444478,true,147216.9885716071,0.25
θ5_seg3,13,1.4845084660118972,147213.14711278642,1.4102830427113024,1.6700720242633844,true,147216.9885716071,0.17499999999999996
θ6_seg3,14,1.4921558717567878,147213.14711278642,1.4175480781689485,2.47604614969642,true,147216.9885716071,0.7093750000000001
θ7_seg3,15,1.4883124731211599,147213.14711278642,1.4138968494651019,3.8824026154309013,true,147216.9885716071,1.6585937500000005
θ4_seg4,16,0.23270381004717558,147213.14711278642,0.23270381004717558,0.38614288479703196,true,147216.9885716071,0.6593749999999999
θ5_seg4,17,1.496696625205425,147213.14711278642,1.4218617939451537,2.1047296291951287,true,147216.9885716071,0.45624999999999993
θ6_seg4,18,1.4910423397139552,147213.14711278642,1.4164902227282574,3.0403285208229867,true,147216.9885716071,1.0890625
θ7_seg4,19,1.5769283178101206,147213.14711278642,0.5371412082540723,1.6557747337006266,true,147216.9885716071,0.709375
θ4_seg5,20,0.1103338408962163,147213.14711278642,0.10481714885140549,0.15515696376030416,true,147216.9885716071,0.4562499999999999
θ5_seg5,21,1.836861601200754,147213.14711278642,1.7450185211407163,1.9287046812607915,true,147216.9885716071,0.09999999999999991
θ6_seg5,22,1.4315836651974976,147213.14711278642,1.091582544713092,1.5031628484573725,true,147216.9885716071,0.2874999999999999
θ7_seg5,23,1.46548460856673,147213.14711278642,0.49918069479304245,1.5387588389950664,true,147216.9885716071,0.709375
