parameter,value
θ1_global,1.167680007545576
θ2_global,81.59150616032262
θ3_global,1.0818937557251695
θ4_seg1,1.4958331152579094
θ5_seg1,1.4931141415000062
θ6_seg1,1.5594485606575417
θ7_seg1,1.5232415647004824
θ4_seg2,0.1683763708711513
θ5_seg2,1.2346389429534588
θ6_seg2,1.5021013711416165
θ7_seg2,1.4776773172396498
θ4_seg3,0.11563369125370399
θ5_seg3,1.4845084660118972
θ6_seg3,1.4921558717567878
θ7_seg3,1.4883124731211599
θ4_seg4,0.23270381004717558
θ5_seg4,1.496696625205425
θ6_seg4,1.4910423397139552
θ7_seg4,1.5769283178101206
θ4_seg5,0.1103338408962163
θ5_seg5,1.836861601200754
θ6_seg5,1.4315836651974976
θ7_seg5,1.46548460856673
