domain,n_datasets,best_loss,best_loss_count,mean_f1,rss_mean_f1,l1_mean_f1,huber_mean_f1
Hydrology,1,huber,1,1.0,0.7777777777777778,0.5555555555555556,0.48148148148148145
Activity Monitoring,1,rss,1,0.985915492957746,0.7143591499159138,0.4506019518749806,0.5275453144006472
Quality Control,4,l1,2,0.9642857142857143,0.5696188511677862,0.43922752117196556,0.5393995949888508
Public Health,1,rss,1,0.956521739130434,0.4147324833823685,0.17725795971409988,0.18295596541210557
Macroeconomics,4,rss,2,0.95,0.4752940456347523,0.38413680211925805,0.38413680211925805
Business/Economic,4,rss,2,0.9258241758241759,0.4724528435254626,0.4429171611787376,0.4388431938607065
Labor,1,huber,1,0.8995633187772921,0.5804373592673023,0.5607453550364538,0.6142054082069272
Environment,3,l1,2,0.8978573937478047,0.47515449716761127,0.5309005326410554,0.4967738948162392
Financial,4,huber,3,0.8950638268421358,0.5040011060693692,0.42601472583910316,0.4587484488465633
Transportation,2,rss,1,0.836019402284462,0.28954567958792493,0.2551514356412525,0.2585551026291822
Geophysics,1,rss,1,0.7969548590013931,0.46248821532325374,0.3869861594666157,0.3897235587885658
Demographics,3,huber,2,0.771392081736909,0.2625687924849853,0.2449679190284912,0.27801413868379493
Sports,1,huber,1,0.7555555555555551,0.17128867523131822,0.15612080489383617,0.16743026430456143
Other,1,rss,1,0.647342995169082,0.26122851275652725,0.17817950438517974,0.17506444895904785
