model,best_loss,best_loss_count,mean_f1,mean_covering
exponential,huber,20,0.6968698888099166,0.9068861178440268
log_linear,huber,17,0.6858588139421425,0.9096753682116656
linear,huber,21,0.6611021628790332,0.8918255829584234
quadratic,huber,17,0.6521781402077582,0.8444425551165772
power,huber,16,0.6483976102762555,0.8634473697206294
hyperbolic,huber,18,0.632066357288145,0.9071245219547814
mean_drift,huber,22,0.630868862462584,0.8671492965572305
accelerator,huber,18,0.60254724106667,0.8874757807752546
rational,huber,19,0.5984313933382301,0.8547313441828378
double_exponential,rss,16,0.5911446712510179,0.7913800741363498
mean,huber,19,0.5869138002067649,0.9118867260021645
poisson,huber,21,0.5758640959890566,0.8266583670102458
negbin,huber,21,0.5758640959890566,0.8266583670102458
asymptotic_regression,huber,15,0.5721132421924418,0.8497340988253574
ar1,huber,20,0.5631671828822427,0.8248249878944095
ingarch,huber,19,0.5552839867500912,0.8804740855056755
log_logistic,huber,14,0.5422650929595855,0.8193530519489407
weibull_growth,huber,21,0.5288159422228992,0.803854444471534
hill_function,huber,20,0.5144097548979524,0.8316833234910707
debt_dynamics,huber,18,0.5095076125962615,0.8174555549715026
michaelis_menten,huber,19,0.4282996385869761,0.8101624011237053
compound_growth,huber,17,0.39817643385862406,0.8298482244497776
ar3,huber,22,0.344106685938038,0.7166203520345575
ets_mmm,huber,22,0.3388357540093602,0.7166521350481682
cubic,huber,21,0.3291812192770899,0.7055605503107266
ar2,huber,20,0.3114692554582218,0.7294652175467796
ets_aaa,huber,19,0.299014231124099,0.7304580710987222
