model,huber,l1,rss
accelerator,0.5022483865759251,0.49260240992771354,0.5401519350057443
ar1,0.4697756491679869,0.4277300143951935,0.5197769235527044
ar2,0.16990635297602327,0.1963192200542546,0.25639200014220426
ar3,0.2296717789456978,0.23279207996853277,0.07372637517662378
asymptotic_regression,0.38406094520276884,0.3807883298619141,0.5107341111740634
compound_growth,0.2971106845037361,0.26093515532560496,0.3177091639243747
cubic,0.20063420606202587,0.1984641673258272,0.29380699058824156
debt_dynamics,0.40354812045964156,0.4143120677229776,0.47091310698102684
double_exponential,0.33748027632966454,0.38117299538109034,0.5095549346403051
ets_aaa,0.137847356246838,0.1997328198163105,0.25122652658604705
ets_mmm,0.24664720313004865,0.1858945279008094,0.27826098002541866
exponential,0.6210353681731606,0.5097986821585646,0.6073444915688097
hill_function,0.3911348717064591,0.3844423761448075,0.45714027547066266
hyperbolic,0.5309595832169515,0.5070835427453431,0.5829138866752892
ingarch,0.439373649350896,0.39933814487727637,0.5031880614498303
linear,0.5650591544937257,0.5712342408293796,0.5972777376828761
log_linear,0.5401352081815582,0.5391499896062368,0.5908910573434404
log_logistic,0.29726742597159606,0.29395324541434886,0.4473545492512801
mean,0.5136238724588637,0.5293338746043765,0.5549761962971074
mean_drift,0.5702572698608974,0.5087122514444823,0.5828328996393123
michaelis_menten,0.30240943545567806,0.26747579199687643,0.40247776442121125
negbin,0.5124181742487309,0.4822005252660336,0.5086503440053604
poisson,0.5124181742487309,0.4822005252660336,0.5086503440053604
power,0.488345886840584,0.5007096875888353,0.5885647959049262
quadratic,0.4662210736057897,0.39907517240438967,0.5550059423107825
rational,0.47058634147661066,0.3983426080413017,0.4663966226783344
weibull_growth,0.430101243931333,0.3709987693592708,0.44411750798881533
