dataset,model_O,config_O,f1_O,precision_O,recall_O,cps_O,kappa_O,n_cps_O,criterion_O,model_P,config_P,f1_P,precision_P,recall_P,covering,cps_P,kappa_P,n_cps_P,criterion_P
bank,mean,ms5_sd50,1.0,1.0,1.0,[],1.190390677971708,0,oracle,mean,ms5_sd50,0.0,0.0,1.0,0.0,"[20, 30, 49, 54, 188, 202, 234, 256, 312, 317, 327, 355, 368, 374, 387]",0.0001190390677971,15,BIC
brent_spot,linear,ms10_sd50,0.8490773482304698,0.875,0.8246464646464645,"[102, 172, 214, 225, 283, 367, 380, 414]",273.13635989568,8,oracle,exponential,ms5_sd50,0.8375451263537906,0.8,0.8787878787878787,0.9531999999999998,"[44, 83, 171, 181, 216, 222, 227, 234, 240, 265, 284, 375, 384, 414, 480]",0.9104545329856,15,BIC
businv,exponential,ms5_sd100,0.888888888888889,0.8,1.0,"[119, 200, 206, 212, 249]",3440451352.4844685,5,oracle,ar2,ms5_sd50,0.769230769230769,1.0,0.6249999999999999,0.7431818181818182,"[203, 214]",344045135.2484469,2,BIC
centralia,mean,ms5_sd50,0.7586206896551723,1.0,0.611111111111111,[9],828.4667733333333,1,oracle,mean,ms5_sd50,0.7586206896551723,1.0,0.611111111111111,0.6222222222222222,[9],828.4667733333333,1,BIC
children_per_woman,quadratic,ms5_sd50,0.9743589743589745,1.0,0.95,"[143, 173, 200]",0.0701815906667697,3,oracle,ar2,ms15_sd50,0.838235294117647,0.75,0.95,0.9740863787375416,"[119, 147, 165, 180]",0.0023393863555589,4,BIC
co2_canada,power,ms5_sd100,0.946312092323131,1.0,0.8980952380952381,"[79, 104, 131, 141, 161, 170]",1.2703293567578218,6,oracle,exponential,ms5_sd100,0.7906976744186046,0.6666666666666666,0.9714285714285712,0.9516279069767444,"[80, 111, 119, 131, 140, 145, 159, 168, 173, 181, 190, 203]",0.423443118919274,12,BIC
construction,linear,ms10_sd50,0.8571428571428571,1.0,0.75,"[190, 220]",272831598.787335,2,oracle,logistic,ms15_sd100,0.8076923076923077,0.75,0.875,0.9890282131661442,"[136, 166, 192, 215]",27283159.8787335,4,BIC
debt_ireland,mean,ms5_sd50,0.9473684210526316,1.0,0.9,"[9, 15]",1.003342781232398,2,oracle,mean,ms5_sd50,0.9473684210526316,1.0,0.9,0.8857142857142858,"[9, 15]",1.003342781232398,2,BIC
gdp_argentina,logistic,ms5_sd100,1.0,1.0,1.0,"[33, 42, 51]",2.693745957712452e+20,3,oracle,logistic,ms5_sd100,1.0,1.0,1.0,0.9152542372881356,"[33, 42, 51]",2.693745957712452e+20,3,BIC
gdp_croatia,mean,ms10_sd50,1.0,1.0,1.0,[10],1.777013107163011e+18,1,oracle,mean,ms10_sd50,1.0,1.0,1.0,0.8333333333333334,[10],1.777013107163011e+18,1,BIC
gdp_iran,ar1,ms5_sd50,0.9565217391304348,1.0,0.9166666666666666,"[14, 20]",7.774052486367478e+28,2,oracle,ar1,ms5_sd50,0.9565217391304348,1.0,0.9166666666666666,0.9051724137931034,"[14, 20]",7.774052486367478e+28,2,BIC
gdp_japan,linear,ms5_sd50,1.0,1.0,1.0,[30],3.809529434728466e+27,1,oracle,cubic,ms5_sd50,0.6666666666666666,0.5,1.0,0.9310344827586208,"[28, 48]",3.809529434728466e+25,2,BIC
global_co2,power,ms10_sd50,0.8,0.6666666666666666,1.0,"[43, 68, 88]",6.701918661008918,3,oracle,power,ms10_sd50,0.8,0.6666666666666666,1.0,0.9423076923076924,"[43, 68, 88]",6.701918661008918,3,BIC
