dataset,model_O,config_O,f1_O,precision_O,recall_O,covering_O,cps_O,kappa_O,n_cps_O,obj_O,mode_O,f1_P,precision_P,recall_P,covering_P,cps_P,kappa_P,n_cps_P,obj_P,model_P,config_P,mode_P,sse_O,sse_P
bank,cubic,ms1_s1,1.0,1.0,1.0,1.0,"[]",0.5,0,penalty_oracle,MICA-O,1.0,1.0,1.0,1.0,"[]",2.0,0,penalty_bic,ar2,ms2_s1,MICA-P,545.765208828973,557.4934186040255
brent_spot,accelerator,ms2_s5,0.4392061234166498,0.6666666666666666,0.32747474747474753,0.77,"[137, 284, 379]",1.0,3,penalty_oracle,MICA-O,0.0,0.0,0.0,0.3672,"[]",20.0,0,penalty_bic,ar1,ms1_s1,MICA-P,103.86304572365705,306.1270294730036
businv,ets_mmm,ms1_s1,0.5454545454545454,1.0,0.37499999999999994,0.7204545454545455,"[206]",0.1,1,penalty_oracle,MICA-O,0.0,0.0,0.0,0.36742424242424243,"[]",0.1,0,penalty_bic,ar3,ms3_s1,MICA-P,7.617421959552577,9.405298950730284
centralia,compound_growth,ms1_s1,0.9411764705882353,1.0,0.8888888888888888,0.8222222222222223,"[3, 13]",0.1,2,penalty_oracle,MICA-O,0.0,0.0,0.0,0.5555555555555555,"[]",0.1,0,penalty_bic,cubic,ms1_s1,MICA-P,5.631286772415422,0.9382518567826508
children_per_woman,cubic,ms10_s15,0.7096774193548387,1.0,0.55,0.9116279069767442,"[145]",0.1,1,penalty_oracle,MICA-O,0.0,0.0,0.0,0.49036544850498337,"[]",2.0,0,penalty_bic,ar1,ms1_s1,MICA-P,6.540449621670351,29.690273662373997
co2_canada,accelerator,ms2_s1,0.8274706867671692,1.0,0.7057142857142857,0.8688372093023256,"[82, 105, 164]",0.1,3,penalty_oracle,MICA-O,0.0,0.0,0.0,0.38976744186046514,"[]",1.0,0,penalty_bic,ar1,ms1_s1,MICA-P,5.962241311014577,20.11135021940667
construction,ets_mmm,ms1_s6,0.8571428571428571,1.0,0.75,0.9451410658307211,"[193, 206]",0.1,2,penalty_oracle,MICA-O,0.0,0.0,0.0,0.6943573667711598,"[276]",0.1,1,penalty_bic,ar2,ms6_s6,MICA-P,42.51163653467919,118.33341385245502
debt_ireland,compound_growth,ms1_s1,1.0,1.0,1.0,0.9238095238095237,"[7, 9, 11, 12, 14]",0.1,5,penalty_oracle,MICA-O,0.9473684210526316,1.0,0.9,0.8666666666666666,"[7, 13]",0.1,2,penalty_bic,ar1,ms1_s1,MICA-P,2.4144758930475048,0.27291461764674996
gdp_argentina,compound_growth,ms5_s1,1.0,1.0,1.0,0.864406779661017,"[31, 37, 45]",0.1,3,penalty_oracle,MICA-O,0.5,1.0,0.3333333333333333,0.6779661016949152,"[43]",0.1,1,penalty_bic,ar1,ms1_s1,MICA-P,28.42129199861398,1.2709237346378743
gdp_croatia,cubic,ms1_s1,1.0,1.0,1.0,0.9583333333333334,"[13]",0.1,1,penalty_oracle,MICA-O,1.0,1.0,1.0,0.9583333333333334,"[13]",0.1,1,penalty_bic,quadratic,ms1_s1,MICA-P,0.22987330569239645,0.2702719887142243
gdp_iran,ets_mmm,ms1_s1,0.9565217391304348,1.0,0.9166666666666666,0.9482758620689655,"[16, 22]",0.1,2,penalty_oracle,MICA-O,0.0,0.0,0.0,0.6163793103448276,"[]",0.5,0,penalty_bic,ar2,ms2_s1,MICA-P,2.9257467537424997,10.852903949468534
gdp_japan,quadratic,ms1_s1,1.0,1.0,1.0,0.9655172413793104,"[34]",0.1,1,penalty_oracle,MICA-O,1.0,1.0,1.0,0.9310344827586207,"[28]",0.1,1,penalty_bic,ar1,ms1_s1,MICA-P,0.24441508440135884,0.2859033410520059
global_co2,accelerator,ms3_s5,1.0,1.0,1.0,0.9615384615384616,"[48, 88, 96]",0.1,3,penalty_oracle,MICA-O,0.0,0.0,0.0,0.4471153846153846,"[]",0.1,0,penalty_bic,ar2,ms2_s1,MICA-P,15.694585805929306,0.7581029470299512
homeruns,debt_dynamics,ms3_s5,0.7956989247311829,1.0,0.6607142857142857,0.7860169491525424,"[63]",0.1,1,penalty_oracle,MICA-O,0.0,0.0,0.0,0.4427966101694915,"[]",0.1,0,penalty_bic,ar3,ms3_s1,MICA-P,7.605571248755375,9.073288402655521
iceland_tourism,rational,ms3_s3,1.0,1.0,1.0,0.9949748743718593,"[168]",0.1,1,penalty_oracle,MICA-O,0.0,0.0,0.0,0.9597989949748744,"[120, 159]",0.1,2,penalty_bic,ar2,ms3_s3,MICA-P,53.078289270810885,50.11982024642528
jfk_passengers,hill_function,ms2_s23,0.8571428571428571,1.0,0.75,0.9524572649572649,"[301]",0.1,1,penalty_oracle,MICA-O,0.6666666666666666,1.0,0.5,0.9471153846153846,"[295]",0.1,1,penalty_bic,ar3,ms3_s1,MICA-P,120.264152376874,130.17480761548813
lga_passengers,ar1,ms2_s4,0.5144508670520231,0.5,0.5297619047619048,0.8151709401709402,"[86, 172, 252, 294, 326, 436]",0.1,6,penalty_oracle,MICA-O,0.0,0.0,0.0,0.5689102564102564,"[253, 424]",0.1,2,penalty_bic,ar1,ms1_s9,MICA-P,191.70927808541106,210.0593187409663
nile,ar3,ms3_s1,1.0,1.0,1.0,0.9499999999999998,"[23]",0.1,1,penalty_oracle,MICA-O,1.0,1.0,1.0,1.0,"[28]",0.5,1,penalty_bic,ar1,ms3_s5,MICA-P,53.40722440914096,58.90096996873644
occupancy,accelerator,ms2_s5,0.8054298642533936,1.0,0.6742424242424242,0.7728880157170923,"[92, 239, 267, 419, 456]",0.1,5,penalty_oracle,MICA-O,0.0,0.0,0.0,0.30844793713163066,"[]",2.0,0,penalty_bic,ar3,ms3_s1,MICA-P,208.59627753877083,375.09946372060557
ozone,accelerator,ms2_s1,1.0,1.0,1.0,0.8842592592592593,"[9, 33]",0.5,2,penalty_oracle,MICA-O,0.9333333333333333,1.0,0.875,0.9212962962962963,"[27]",0.1,1,penalty_bic,ar2,ms2_s1,MICA-P,8.702894450118531,1.5715704790728915
quality_control_1,accelerator,ms2_s1,1.0,1.0,1.0,0.9929712460063896,"[142]",0.5,1,penalty_oracle,MICA-O,0.33333333333333337,1.0,0.2,0.9814696485623002,"[150]",0.1,1,penalty_bic,quadratic,ms15_s15,MICA-P,73.14467068525782,77.44220050845155
quality_control_2,ar2,ms2_s1,1.0,1.0,1.0,0.9938162544169611,"[96]",0.1,1,penalty_oracle,MICA-O,1.0,1.0,1.0,0.9938162544169611,"[96]",0.5,1,penalty_bic,ar1,ms1_s1,MICA-P,180.1403580951704,188.28377468589858
quality_control_3,ar1,ms1_s3,1.0,1.0,1.0,0.9978142076502733,"[178, 185]",0.1,2,penalty_oracle,MICA-O,1.0,1.0,1.0,0.9978142076502733,"[178]",0.5,1,penalty_bic,ar1,ms1_s1,MICA-P,260.7744656917589,266.36577085856305
quality_control_4,quadratic,ms2_s5,0.8571428571428571,1.0,0.75,0.8540000000000001,"[337]",0.1,1,penalty_oracle,MICA-O,0.0,0.0,0.0,0.5579999999999999,"[]",5.0,0,penalty_bic,ar2,ms2_s1,MICA-P,291.17560832667317,388.08604714872615
quality_control_5,ar3,ms3_s1,1.0,1.0,1.0,1.0,"[]",0.1,0,penalty_oracle,MICA-O,1.0,1.0,1.0,1.0,"[]",0.1,0,penalty_bic,mean,ms1_s1,MICA-P,309.40943631408976,633.7457468410853
rail_lines,linear,ms5_s1,0.8571428571428571,0.75,1.0,0.918918918918919,"[9, 17, 23, 31]",0.1,4,penalty_oracle,MICA-O,0.7499999999999999,1.0,0.6,0.827027027027027,"[25]",0.1,1,penalty_bic,ar1,ms1_s1,MICA-P,3.7079647377921297,2.135038375705397
ratner_stock,accelerator,ms3_s6,0.9473684210526316,1.0,0.9,0.9826666666666666,"[201, 267, 282]",0.1,3,penalty_oracle,MICA-O,0.0,0.0,0.0,0.874,"[213]",0.5,1,penalty_bic,ar2,ms3_s30,MICA-P,19.24603293192019,33.911459643793
robocalls,debt_dynamics,ms1_s1,0.8571428571428571,1.0,0.75,0.8798076923076923,"[5, 33]",0.1,2,penalty_oracle,MICA-O,0.8571428571428571,1.0,0.75,0.9134615384615384,"[6, 34]",0.1,2,penalty_bic,ar1,ms1_s1,MICA-P,1.4453451065244238,1.5759271221048239
run_log,ar1,ms7_s7,0.8433734939759037,1.0,0.7291666666666666,0.8623670212765957,"[56, 119, 175, 203, 238, 315]",0.1,6,penalty_oracle,MICA-O,0.356234096692112,0.6666666666666666,0.24305555555555555,0.47938829787234044,"[59, 314, 316]",0.1,3,penalty_bic,ar2,ms2_s3,MICA-P,107.88031031861252,155.63919247577186
scanline_126007,accelerator,ms16_s4,0.8198614318706697,0.8333333333333334,0.8068181818181818,0.8918918918918919,"[176, 248, 280, 324, 372, 404]",0.1,6,penalty_oracle,MICA-O,0.25742574257425743,1.0,0.14772727272727273,0.6398128898128899,"[374, 402]",1.0,2,penalty_bic,ar2,ms2_s4,MICA-P,290.3850395725252,351.6541373296626
scanline_42049,accelerator,ms2_s9,0.8976377952755905,1.0,0.8142857142857143,0.9388773388773389,"[74, 182, 272, 346, 366, 463]",0.1,6,penalty_oracle,MICA-O,0.6988847583643123,1.0,0.5371428571428571,0.7908523908523909,"[76, 183, 272, 276]",0.1,4,penalty_bic,ar2,ms2_s1,MICA-P,107.91494632236075,124.34857435397294
seatbelts,ar1,ms3_s9,0.9565217391304348,1.0,0.9166666666666666,0.953125,"[57, 168]",0.1,2,penalty_oracle,MICA-O,0.0,0.0,0.0,0.5416666666666667,"[]",5.0,0,penalty_bic,ar1,ms1_s1,MICA-P,121.30695738566715,190.82112290572263
shanghai_license,quadratic,ms1_s1,0.9473684210526316,1.0,0.9,0.9541463414634146,"[142]",0.1,1,penalty_oracle,MICA-O,0.6666666666666666,1.0,0.5,0.9521951219512195,"[140]",0.5,1,penalty_bic,ar1,ms10_s10,MICA-P,6.535666284010028,11.5023835083345
uk_coal_employ,accelerator,ms2_s2,0.743455497382199,1.0,0.5916666666666667,0.7354368932038835,"[20, 48, 66]",0.1,3,penalty_oracle,MICA-O,0.0,0.0,0.0,0.24757281553398058,"[]",0.5,0,penalty_bic,ar3,ms3_s1,MICA-P,4.580414761431128,6.070934361809109
unemployment_nl,accelerator,ms2_s4,0.8597285067873303,1.0,0.753968253968254,0.7908878504672897,"[130, 136, 142, 178]",0.5,4,penalty_oracle,MICA-O,0.4539877300613497,1.0,0.2936507936507936,0.6460280373831775,"[128, 139]",0.5,2,penalty_bic,ar3,ms3_s1,MICA-P,84.09933291217703,106.4613915825922
usd_isk,debt_dynamics,ms2_s4,0.9090909090909091,1.0,0.8333333333333333,0.9611336032388664,"[38, 114, 120]",0.1,3,penalty_oracle,MICA-O,0.6813186813186815,1.0,0.5166666666666667,0.8955465587044534,"[116]",1.0,1,penalty_bic,ar3,ms8_s12,MICA-P,18.685497646468285,70.51127743327034
