dataset,model_O,config_O,f1_O,precision_O,recall_O,covering_O,cps_O,kappa_O,n_cps_O,obj_O,mode_O,f1_P,precision_P,recall_P,covering_P,cps_P,kappa_P,n_cps_P,obj_P,model_P,config_P,mode_P,sse_O,sse_P
apple,ar1,ms31_s6,0.9189189189189189,1.0,0.85,0.8871382636655948,"[199, 319]",0.5,2,penalty_oracle,MICA-O,0.9041095890410958,1.0,0.825,0.8559485530546624,[314],2.0,1,penalty_bic,ar1,ms20_s6,MICA-P,7.633712381863619,10.399898993741253
bank,ar3,ms19_s5,1.0,1.0,1.0,1.0,[],2.0,0,penalty_oracle,MICA-O,1.0,1.0,1.0,1.0,[],0.1,0,penalty_bic,mean,ms19_s5,MICA-P,20.851919557963758,69.16169839015623
bee_waggle_6,ar1,ms30_s12,0.6666666666666666,1.0,0.5,0.8949096880131363,[246],2.0,1,penalty_oracle,MICA-O,0.3333333333333333,0.25,0.5,0.9573070607553367,"[42, 156, 246, 552]",0.5,4,penalty_bic,accelerator,ms30_s12,MICA-P,12948.43464510671,226800.57647043173
bitcoin,ar1,ms25_s7,0.4903846153846152,0.75,0.3642857142857142,0.9198966408268733,"[88, 522, 578, 617]",0.5,4,penalty_oracle,MICA-O,0.44655581947743467,0.6666666666666666,0.3357142857142857,0.9041343669250645,"[139, 519, 582]",0.1,3,penalty_bic,cubic,ms25_s38,MICA-P,96764716.72355524,473107154.7588403
brent_spot,power,ms25_s10,0.3962416977158594,1.0,0.24707070707070705,0.6364000000000001,[225],2.0,1,penalty_oracle,MICA-O,0.3624757430293127,0.75,0.238989898989899,0.784,"[141, 282, 382, 448]",0.1,4,penalty_bic,accelerator,ms16_s25,MICA-P,277158.8744578356,85083.15447966731
businv,ets_mmm,ms11_s16,0.5454545454545454,1.0,0.37499999999999994,0.7227272727272728,[203],0.1,1,penalty_oracle,MICA-O,0.5454545454545454,1.0,0.37499999999999994,0.7227272727272728,[124],0.1,1,penalty_bic,weibull_growth,ms16_s3,MICA-P,12771718219681.861,15878783415415.602
centralia,ar1,ms5_s1,0.7586206896551723,1.0,0.611111111111111,0.6444444444444444,[7],0.1,1,penalty_oracle,MICA-O,0.7586206896551723,1.0,0.611111111111111,0.6444444444444444,[7],0.1,1,penalty_bic,log_linear,ms5_s1,MICA-P,980198.7685408532,1003917.4238552938
children_per_woman,cubic,ms10_s15,0.7096774193548387,1.0,0.55,0.9116279069767442,[145],0.1,1,penalty_oracle,MICA-O,0.7096774193548387,1.0,0.55,0.9116279069767442,[145],0.1,1,penalty_bic,cubic,ms10_s15,MICA-P,9.510585455448433,9.510585455448433
co2_canada,accelerator,ms7_s2,0.8274706867671692,1.0,0.7057142857142857,0.8734883720930231,"[81, 105, 164]",0.1,3,penalty_oracle,MICA-O,0.8274706867671692,1.0,0.7057142857142857,0.8734883720930231,"[81, 105, 164]",0.1,3,penalty_bic,accelerator,ms7_s2,MICA-P,283.83551306755913,283.83551306755913
construction,log_logistic,ms10_s6,0.8571428571428571,1.0,0.75,0.9404388714733543,"[190, 218]",0.1,2,penalty_oracle,MICA-O,0.8571428571428571,1.0,0.75,0.9404388714733543,"[190, 218]",0.1,2,penalty_bic,log_logistic,ms10_s6,MICA-P,70916680185.44138,70916680185.44138
