method,mode,f1,precision,recall,covering
MICA-O-TCPD,oracle,0.8878,0.963,0.8611,0.8867
BOCPD,oracle,0.627,0.8148,0.5556,0.7212
SegNeigh,oracle,0.4608,0.4599,0.6667,0.8049
BOCPDMS,oracle,0.4228,0.4048,0.4722,0.5789
PELT,oracle,0.4131,0.4643,0.6111,0.7861
BinSeg,oracle,0.3969,0.4474,0.5833,0.7788
PROPHET,oracle,0.3739,0.2441,0.8333,0.904
RFPOP,oracle,0.3623,0.2447,0.7222,0.8991
CPNP,oracle,0.3305,0.2133,0.8611,0.9344
ECP,oracle,0.2868,0.2017,0.7222,0.9175
HMM-Regime,oracle,0.2411,0.1529,0.6944,0.7679
WBS,oracle,0.2312,0.1453,0.8333,0.9461
AMOC,oracle,0.2222,0.3333,0.1667,0.2211
KCPA,oracle,0.1782,0.1048,0.9167,0.9676
RBOCPDMS,oracle,0.0,0.0,0.0,0.0
ZERO,oracle,0.0,0.0,0.0,0.3079
MICA-P-TCPD,practical,0.4607,0.4515,0.7222,0.8701
WBS,practical,0.2047,0.129,0.6111,0.729
BOCPDMS,practical,0.2011,0.1444,0.3333,0.3307
HMM-Regime,practical,0.1598,0.1017,0.5,0.753
RFPOP,practical,0.1494,0.0966,0.3333,0.3307
PROPHET,practical,0.1438,0.1093,0.25,0.4466
CPNP,practical,0.0786,0.048,0.2222,0.2193
BOCPD,practical,0.0741,0.1111,0.0556,0.0741
KCPA,practical,0.026,0.0132,1.0,1.0
ECP,practical,0.0,0.0,0.0,0.0
AMOC,practical,0.0,0.0,0.0,0.0
BinSeg,practical,0.0,0.0,0.0,0.0
RBOCPDMS,practical,0.0,0.0,0.0,0.0
PELT,practical,0.0,0.0,0.0,0.0
SegNeigh,practical,0.0,0.0,0.0,0.0
ZERO,practical,0.0,0.0,0.0,0.3079
