method,f1,precision,recall,covering,mode
BOCPD,0.627,0.8148,0.5556,0.7212,oracle
SegNeigh,0.4608,0.4599,0.6667,0.8049,oracle
BOCPDMS,0.4228,0.4048,0.4722,0.5789,oracle
PELT,0.4131,0.4643,0.6111,0.7861,oracle
BinSeg,0.3969,0.4474,0.5833,0.7788,oracle
PROPHET,0.3739,0.2441,0.8333,0.904,oracle
RFPOP,0.3623,0.2447,0.7222,0.8991,oracle
CPNP,0.3305,0.2133,0.8611,0.9344,oracle
ECP,0.2868,0.2017,0.7222,0.9175,oracle
HMM-Regime,0.2411,0.1529,0.6944,0.7679,oracle
WBS,0.2312,0.1453,0.8333,0.9461,oracle
AMOC,0.2222,0.3333,0.1667,0.2211,oracle
KCPA,0.1782,0.1048,0.9167,0.9676,oracle
RBOCPDMS,0.0,0.0,0.0,0.0,oracle
ZERO,0.0,0.0,0.0,0.3079,oracle
MICA-O-TCPD,0.8878,0.963,0.8611,0.8867,oracle
