parameter,value
δ_global,0.2999999999746218
ᴺε₀_global,0.27554176726499363
ᴺε₁_global,0.08928571428571427
ᴺγ₀_global,0.19999998185772466
ᴺγ₁_global,0.09174311892623874
ᴺγ₂_global,0.05263159415501998
ᴺγ₃_global,0.06664610429057288
ω_global,0.00803927238923019
ᴺp₁_seg1,0.0002761947169203042
ᴺβ_seg1,1.0210008546735194
ᴺp₁₂_seg1,0.49999999953288793
ᴺp₂₃_seg1,0.4999999999682639
ᴺp₁D_seg1,0.0010000000023939074
ᴺp₂D_seg1,0.003270041223528993
ᴺp₃D_seg1,0.4999999999336969
ν_seg1,0.052248940296699645
ᴺp₁_seg2,0.00037313461796588144
ᴺβ_seg2,0.11524169201476595
ᴺp₁₂_seg2,0.5
ᴺp₂₃_seg2,0.32327058937683245
ᴺp₁D_seg2,0.07382664507539048
ᴺp₂D_seg2,0.4999999811259334
ᴺp₃D_seg2,0.25227997204760255
ν_seg2,0.001498902931759986
ᴺp₁_seg3,0.0027582999222178855
ᴺβ_seg3,0.18987371352291532
ᴺp₁₂_seg3,0.4999999728619967
ᴺp₂₃_seg3,0.4999999999060006
ᴺp₁D_seg3,0.0010000003623938233
ᴺp₂D_seg3,0.22985045412831084
ᴺp₃D_seg3,0.49999999999999994
ν_seg3,0.011418870944090895
