parameter,value
δ_global,0.2999999987521219
ᴺε₀_global,0.3151235847678059
ᴺε₁_global,0.08928571427555293
ᴺγ₀_global,0.19999999808758784
ᴺγ₁_global,0.09174311922662974
ᴺγ₂_global,0.0526315790724796
ᴺγ₃_global,0.06666616408498822
ω_global,0.008234951765941884
ᴺp₁_seg1,0.0002825796775083965
ᴺβ_seg1,0.9237744676479246
ᴺp₁₂_seg1,0.4999999996080024
ᴺp₂₃_seg1,0.49999999846799487
ᴺp₁D_seg1,0.001000000117435839
ᴺp₂D_seg1,0.0032677050684935824
ᴺp₃D_seg1,0.4999999983756017
ν_seg1,0.06485815415212998
ᴺp₁_seg2,0.00036601053249242835
ᴺβ_seg2,0.11559608877128956
ᴺp₁₂_seg2,0.49999999729317735
ᴺp₂₃_seg2,0.32291638824501984
ᴺp₁D_seg2,0.07209786256270488
ᴺp₂D_seg2,0.499999998247397
ᴺp₃D_seg2,0.24810171407055331
ν_seg2,0.09770971310723685
ᴺp₁_seg3,0.002732786934954818
ᴺβ_seg3,0.18452858332671904
ᴺp₁₂_seg3,0.49999999963304925
ᴺp₂₃_seg3,0.4999999978161452
ᴺp₁D_seg3,0.0010000004296060977
ᴺp₂D_seg3,0.2294553398801628
ᴺp₃D_seg3,0.4999999981679339
ν_seg3,0.010841734424963003
