parameter,mode_1_ev_-4.25e-11,mode_2_ev_-2.89e-11,mode_3_ev_-3.78e-12,mode_4_ev_-3.18e-12,mode_5_ev_1.19e-19
δ_global,-2.6890399321428228e-11,-1.0879040715363977e-9,-4.0849344294201465e-10,-1.069948374505407e-9,1.845163957235624e-18
ᴺε₀_global,2.0879109428161502e-10,-3.844242615904249e-9,-1.460512364922145e-9,-4.2929201702137665e-9,5.793376702624776e-18
ᴺε₁_global,1.8437232208274845e-10,2.964967636277731e-9,1.1163136750147594e-9,3.3064472518120606e-9,-4.81147463344617e-18
ᴺγ₀_global,6.206607920637894e-11,7.945710619937157e-10,2.9841870183374634e-10,8.628621598510108e-10,-1.3555882983629271e-18
ᴺγ₁_global,-1.9173642819533315e-10,7.161076250554994e-11,3.1571086283516886e-11,1.105675007861611e-11,2.379565877182221e-19
ᴺγ₂_global,7.030117622997298e-12,-5.958321526909965e-12,-2.2544911578154907e-12,6.1879605015291586e-12,1.63997246159027e-20
ᴺγ₃_global,-7.620036164476545e-12,1.2857626971892257e-11,4.884191340385422e-12,1.7165559872144823e-12,-1.1126214731005225e-21
ω_global,1.7290513625577741e-10,-7.213561167294686e-11,-3.1234689947688023e-11,-1.1747164040291847e-11,-8.558433227773525e-20
ᴺp₁_seg1,-1.5005714975591872e-10,-1.5663305644548426e-10,-5.502639430892503e-11,-1.836521265523709e-10,4.1178588710533243e-19
ᴺβ_seg1,-8.054808710207487e-10,1.9525876475894055e-8,7.40910252376458e-9,2.169400902220483e-8,-2.9793279872632503e-17
ᴺp₁₂_seg1,1.0267715150948962e-9,-3.8253891104407787e-10,-1.6848356741635947e-10,-4.397236936143818e-11,-1.2506074568275893e-18
ᴺp₂₃_seg1,-7.931037836572049e-11,7.718276366124937e-11,2.928439148608157e-11,-5.356678191348099e-11,-1.6249773544639683e-19
ᴺp₁D_seg1,2.0860023695258687e-7,9.840369864434099e-9,-2.7682230132609083e-9,-1.940000622720595e-8,-1.7908518285625297e-15
ᴺp₂D_seg1,1.0601624527523073e-7,-2.7087259485775133e-7,-1.0315509325002669e-7,-1.4951758445107038e-7,5.73467358857681e-16
ᴺp₃D_seg1,-4.68836213238975e-5,2.1901114236290452e-6,2.2456441907765083e-6,6.589165009792887e-6,3.788428262716635e-13
ν_seg1,-1.0905653227699652e-7,1.3457786054160703e-6,-3.7358588913793955e-6,5.97177919059444e-8,0.9999999999731322
