parameter,sensitivity_norm
ν_seg1,0.0
ν_seg2,0.0
ν_seg3,0.0
ν_seg4,0.0
ν_seg5,0.0
ν_seg6,0.0
ν_seg7,0.0
ν_seg8,0.0
ᴺp₃D_seg1,0.2685877089922785
ᴺp₃D_seg5,0.5178358007405712
ᴺp₃D_seg7,1.132642326057334
ᴺp₃D_seg9,1.248552377323458
ᴺp₃D_seg6,1.4337775740818597
ᴺp₂D_seg5,1.5886845515113202
ᴺp₁D_seg5,1.6403367410432215
ᴺp₃D_seg8,1.7546416138170728
ᴺp₃D_seg3,2.1107657350358697
ᴺp₃D_seg4,2.263688347155058
ᴺp₂₃_seg1,3.8181229295940025
ᴺp₂D_seg1,4.287171358634339
ᴺp₂D_seg6,4.562750716870691
ᴺp₃D_seg2,5.588609690612394
ᴺp₂D_seg7,5.637259087593463
ᴺp₁₂_seg5,6.395342133978826
ᴺp₂D_seg9,6.5408375487987165
ᴺp₁D_seg4,7.5083973269070565
ᴺp₂D_seg8,7.632985356969829
ᴺp₁₂_seg1,8.415705378662908
ᴺp₁₂_seg4,8.815421569578982
ᴺp₂D_seg4,9.184603296733707
ᴺp₂₃_seg7,9.993188320346933
ᴺp₂₃_seg2,10.668931724888555
ᴺp₁₂_seg8,11.380566719342095
ᴺp₁D_seg6,11.730272374622373
ᴺp₁D_seg9,12.288971051452116
ᴺp₂D_seg3,12.532592683100653
ᴺp₂₃_seg5,12.757956906935126
ᴺp₁₂_seg3,13.649774538114439
ᴺp₁₂_seg7,14.942815397905663
ᴺp₂₃_seg8,15.263681236372872
ᴺp₁₂_seg9,17.075002593964697
ᴺp₁D_seg8,17.93925584225266
ᴺp₁₂_seg2,19.29237924902959
ᴺp₂₃_seg3,19.499204933851804
ᴺp₂₃_seg6,22.98501336489613
ᴺp₁D_seg7,24.134406724215033
ᴺp₁₂_seg6,25.010975855548047
ᴺp₁D_seg3,28.515124481841404
ω_global,28.929160947436397
ᴺp₁_seg7,29.211884201723915
ᴺp₁_seg2,32.761490222327694
ᴺp₁_seg8,32.991291798014295
ᴺp₂₃_seg4,34.65376170174488
ᴺp₁_seg3,43.82022582595131
ᴺp₂₃_seg9,44.68634030396402
ᴺp₁_seg9,47.21595762535716
ᴺp₁D_seg1,58.191558455351284
ᴺp₂D_seg2,81.8940002448625
ᴺp₁_seg5,131.50032458833292
ᴺp₁_seg1,142.86721455513387
ᴺp₁_seg4,162.73922089856458
δ_global,172.67522426639624
ᴺp₁_seg6,235.3155360990397
ᴺβ_seg1,297.06831150451035
ᴺβ_seg8,349.7281848272021
ᴺγ₁_global,355.0462054587947
ᴺβ_seg7,386.25305523823357
ᴺγ₂_global,457.0705671615257
ᴺβ_seg2,462.34562238417493
ᴺγ₃_global,484.17185768458427
ᴺβ_seg9,500.93460656354483
ᴺβ_seg3,583.6354266801026
ᴺβ_seg5,818.5988496611168
ᴺp₁D_seg2,1038.018364246272
ᴺβ_seg4,1195.1294508312567
ᴺε₁_global,1227.7826762190984
ᴺγ₀_global,1391.200304295201
ᴺε₀_global,1485.5231878818333
ᴺβ_seg6,1715.9802264990117
ν_seg9,4115.330233501689
