parameter,index,best_value,best_loss,ci_lower,ci_upper,identifiable,threshold,relative_width,n_failed,best_found_loss
δ_global,1,0.29999999999998456,1594.3136197229749,0.2999821766767132,0.2999999999999846,true,1598.1550785436689,5.9411077571461527e-5,0,1594.3136197229749
ᴺε₀_global,2,0.33333333333333326,1594.3136197229749,0.3333114108579495,0.33333333333333326,true,1598.1550785436689,6.576742615121979e-5,0,1594.3136197229749
ᴺε₁_global,3,0.08928571428571427,1594.3136197229749,0.08928536295502754,0.08928571428571427,true,1598.1550785436689,3.9349036914604346e-6,0,1594.3136197229749
ᴺγ₀_global,4,0.19999999302368215,1594.3136197229749,0.19998597018444397,0.19999999305600769,true,1598.1550785436689,7.011436026426288e-5,0,1594.3136197229749
ᴺγ₁_global,5,0.09174311926605475,1594.3136197229749,0.09174050862833566,0.09174311926605475,true,1598.1550785436689,2.845595113803732e-5,0,1594.3136197229749
ᴺγ₂_global,6,0.052631579025605515,1594.3136197229749,0.05263157902524299,0.05264382262875055,true,1598.1550785436689,0.00023262846629780793,0,1594.3136197229749
ᴺγ₃_global,7,0.06683862255570974,1594.3136197229749,0.06683045450002312,0.06684675404016975,true,1598.1550785436689,0.00024386409419265852,0,1594.3136197229749
ω_global,8,0.008381981651212818,1594.3136197229749,0.008380961017579631,0.008382682413628488,true,1598.1550785436689,0.00020536862528296,0,1594.3136197229749
ᴺp₁_seg1,9,0.0002759828453887585,1594.3136197229749,0.00027591711858167105,0.0002760442079138182,true,1598.1550785436689,0.00046049721665895573,0,1594.3136197229749
ᴺβ_seg1,10,0.8941108108260748,1594.3136197229749,0.8939089838468515,0.8954773758294847,true,1598.1550785436689,0.0017541360239053674,0,1594.3136197229749
ᴺp₁₂_seg1,11,0.49999999998490674,1594.3136197229749,0.49995383231176127,0.4999999999849767,true,1598.1550785436689,9.23353464336147e-5,0,1594.3136197229749
ᴺp₂₃_seg1,12,0.499999999389777,1594.3136197229749,0.4999538217500351,0.49999999939260453,true,1598.1550785436689,9.235528525156002e-5,0,1594.3136197229749
ᴺp₁D_seg1,13,0.0010000001262425188,1594.3136197229749,0.0010000001256575605,0.0010002313227720112,true,1598.1550785436689,0.0002311970852637868,0,1594.3136197229749
ᴺp₂D_seg1,14,0.0038647111050745414,1594.3136197229749,0.0038637744610610443,0.003865647687406574,true,1598.1550785436689,0.00048470022586429636,0,1594.3136197229749
ᴺp₃D_seg1,15,0.4999999941512163,1594.3136197229749,0.4999537090585085,0.4999999941783173,true,1598.1550785436689,9.257024070046419e-5,0,1594.3136197229749
ν_seg1,16,0.03728487990252343,1594.3136197229749,0.0372762417260084,0.03729351807903846,true,1598.1550785436689,0.00046336083353968065,0,1594.3136197229749
ᴺp₁_seg2,17,0.0003750422094463456,1594.3136197229749,0.00037495141343183444,0.00037512505555615855,true,1598.1550785436689,0.0004629935509937462,0,1594.3136197229749
ᴺβ_seg2,18,0.11410078153545954,1594.3136197229749,0.06720580909409125,0.11587223754354345,true,1598.1550785436689,0.4265214295164836,0,1523.4267799255126
ᴺp₁₂_seg2,19,0.49999999859503397,1594.3136197229749,0.49995315954799213,0.49999999860154404,true,1598.1550785436689,9.367810736704087e-5,0,1594.3136197229749
ᴺp₂₃_seg2,20,0.3286826360104902,1594.3136197229749,0.32863619867517024,0.32872867922903376,true,1598.1550785436689,0.00028136732437719923,0,1594.3136197229749
ᴺp₁D_seg2,21,0.06995370266244391,1594.3136197229749,0.06993717428132763,0.0699703369755161,true,1598.1550785436689,0.0004740663170968635,0,1594.3136197229749
ᴺp₂D_seg2,22,0.49999999077675333,1594.3136197229749,0.4999531997896786,0.49999999081949026,true,1598.1550785436689,9.358206134954812e-5,0,1594.3136197229749
ᴺp₃D_seg2,23,0.26615945500598837,1594.3136197229749,0.2661129800185083,0.2662054611182305,true,1598.1550785436689,0.00034746501761557684,0,1594.3136197229749
ν_seg2,24,0.06204491505031199,1594.3136197229749,0.062035657100857865,0.062054172999766115,true,1598.1550785436689,0.000298427339182198,0,1594.3136197229749
ᴺp₁_seg3,25,0.0027239851054880575,1594.3136197229749,0.002723275480507862,0.0027245525250160366,true,1598.1550785436689,0.0004688147910947296,0,1594.3136197229749
ᴺβ_seg3,26,0.18197499687950341,1594.3136197229749,0.1808236209421236,0.18200768647661644,true,1598.1550785436689,0.006506748480819548,0,1594.3136197229749
ᴺp₁₂_seg3,27,0.5,1594.3136197229749,0.4999532513017339,0.5,false,1598.1550785436689,9.349739653219391e-5,0,1594.3136197229749
ᴺp₂₃_seg3,28,0.4999999967562745,1594.3136197229749,0.49995341283867173,0.49999999677130463,true,1598.1550785436689,9.316786587023052e-5,0,1594.3136197229749
ᴺp₁D_seg3,29,0.0010000002902183234,1594.3136197229749,0.0010000002888735653,0.0010002319052243027,true,1598.1550785436689,0.0002316162835181449,0,1594.3136197229749
ᴺp₂D_seg3,30,0.22711522469032808,1594.3136197229749,0.22706815636155456,0.22716059613355458,true,1598.1550785436689,0.0004070170642503643,0,1594.3136197229749
ᴺp₃D_seg3,31,0.4999999999752544,1594.3136197229749,0.4999534619226501,0.4999999999753691,true,1598.1550785436689,9.307610544256786e-5,0,1594.3136197229749
ν_seg3,32,0.010925601030736308,1594.3136197229749,0.010923070029211857,0.010928132214214443,true,1598.1550785436689,0.00046333240508647185,0,1594.3136197229749
