parameter,value
δ_global,0.36
ᴺε₀_global,0.08357512495943678
ᴺε₁_global,0.07837005585503443
ᴺγ₀_global,0.1753784956841939
ᴺγ₁_global,0.11009174311926603
ᴺγ₂_global,0.06480955587891053
ᴺγ₃_global,0.09372003417242462
ω_global,0.005195299909832021
ᴺp₁_seg1,0.3600842352606777
ᴺβ_seg1,0.828153132437982
ᴺp₁₂_seg1,0.6
ᴺp₂₃_seg1,0.6
ᴺp₁D_seg1,0.008107266395148222
ᴺp₂D_seg1,0.009322480756048782
ᴺp₃D_seg1,0.207674867667616
ν_seg1,0.03201116981728024
ᴺp₁_seg2,0.002114042934636723
ᴺβ_seg2,0.037522625104405696
ᴺp₁₂_seg2,0.5626154823421374
ᴺp₂₃_seg2,0.427503880297912
ᴺp₁D_seg2,0.0008333333333333334
ᴺp₂D_seg2,0.2433123350652284
ᴺp₃D_seg2,0.45256038964845285
ν_seg2,0.05359543896085876
ᴺp₁_seg3,0.002958518558285593
ᴺβ_seg3,0.15914979791546202
ᴺp₁₂_seg3,0.5999843524258306
ᴺp₂₃_seg3,0.563560376921685
ᴺp₁D_seg3,0.0018467082415926609
ᴺp₂D_seg3,0.09286718179862453
ᴺp₃D_seg3,0.476890836669835
ν_seg3,0.016545174753782827
