parameter,index,value,loss,delta_loss
θ1_global,1,1.0e-12,109430.42175899318,-902.408361993279
θ1_global,1,1.00000012958546e-12,110332.83012098646,0.0
θ1_global,1,0.00012000000099999913,109435.21145372035,-897.6186672661133
θ1_global,1,0.00030000000099999764,105288.99380461828,-5043.836316368179
θ1_global,1,0.0005700000009999954,83562.52484098569,-26770.30528000077
θ1_global,1,0.000975000000999992,83735.63699719784,-26597.193123788617
θ1_global,1,0.0015825000009999871,83999.1030048675,-26333.727116118956
θ1_global,1,0.0024937500009999795,84408.59820172322,-25924.231919263242
θ1_global,1,0.0038606250009999682,85036.09206261317,-25296.73805837329
θ1_global,1,0.005910937500999951,85976.97061613444,-24355.859504852022
θ1_global,1,0.008986406250999926,87363.65396421174,-22969.176156774716
θ1_global,1,0.01359960937599989,89289.79719402152,-21043.032926964937
θ1_global,1,0.020519414063499834,91781.88757033061,-18550.942550655847
θ1_global,1,0.03089912109474975,94786.2983331062,-15546.53178788026
θ1_global,1,0.046468681641624626,98163.72524805674,-12169.104872929718
θ1_global,1,0.06982302246193695,101661.21757132043,-8671.612549666024
θ1_global,1,0.10485453369240541,104931.54933754812,-5401.280783438342
θ1_global,1,0.1574018005381081,107768.61121144825,-2564.2189095382055
θ1_global,1,0.23622270080666213,109535.99216593984,-796.8379550466198
θ1_global,1,0.3544540512094932,110275.80358997674,-57.026531009716564
θ1_global,1,0.5318010768137398,110225.97828663647,-106.85183434998908
θ1_global,1,0.7978216152201096,110208.51434861537,-124.31577237109013
θ1_global,1,1.1968524228296644,110247.96620744206,-84.86391354439547
θ1_global,1,1.7953986342439965,110442.41656884817,109.58644786171499
θ2_global,2,1.0e-12,131296.19110163246,20963.360980646
θ2_global,2,18.597182351470526,109140.19133992697,-1192.6387810594897
θ2_global,2,36.822182351470374,109548.85646973504,-783.973651251421
θ2_global,2,48.97218235147027,109653.2850277056,-679.5450932808599
θ2_global,2,57.072182351470204,109699.6977868113,-633.1323341751558
θ2_global,2,62.47218235147016,109724.02339389302,-608.8067270934407
θ2_global,2,66.07218235147013,109748.66332923729,-584.1667917491723
θ2_global,2,68.47218235147011,110332.83012098646,0.0
θ2_global,2,70.87218235147009,109765.7042684319,-567.1258525545563
θ2_global,2,74.47218235147005,109765.39418311653,-567.4359378699301
θ2_global,2,79.87218235147,109779.92442116496,-552.9056998214946
θ2_global,2,87.97218235146994,109798.33488301825,-534.4952379682072
θ2_global,2,100.12218235146983,109820.28913890888,-512.5409820775822
θ2_global,2,118.34718235146968,109845.01955585476,-487.8105651317019
θ2_global,2,120.0,109847.42157321272,-485.408547773739
θ3_global,3,1.0e-12,714023.4733916781,603690.6432706916
θ3_global,3,6.387530835470322,104417.4351721948,-5915.394948791654
θ3_global,3,11.134228061828999,106461.89623290075,-3870.9338880857104
θ3_global,3,14.29869287940145,109090.66771328094,-1242.1624077055167
θ3_global,3,16.408336091116418,109496.52018359405,-836.3099373924051
