parameter,index,value,loss,delta_loss
θ1_global,1,0.0,145213.6312569915,-1999.515855794918
θ1_global,1,0.3977410025702116,141550.6112059107,-5662.53590687571
θ1_global,1,0.6933100044801855,140877.2886259331,-6335.858486853307
θ1_global,1,0.8903560057535015,140300.84349144253,-6912.30362134389
θ1_global,1,1.0217200066023788,139756.40388173918,-7456.743231047236
θ1_global,1,1.1092960071682971,139355.47757028454,-7857.669542501884
θ1_global,1,1.167680007545576,139005.8213616196,-8207.32575116682
θ1_global,1,1.2260640079228549,138630.75344704484,-8582.393665741576
θ2_global,2,76.84150616032262,144574.1911181601,-2638.9559946263325
θ2_global,2,79.09150616032262,141951.61974588182,-5261.5273669046
θ2_global,2,80.59150616032262,140903.43569180995,-6309.7114209764695
θ2_global,2,81.59150616032262,140034.1164572872,-7179.030655499228
θ2_global,2,82.59150616032262,139437.00332927835,-7776.143783508072
θ3_global,3,0.0,143853.22223435855,-3359.9248784278752
θ3_global,3,0.3685200605438858,141862.84609684054,-5350.301015945879
θ3_global,3,0.6423744174618193,140667.45013647663,-6545.696976309788
θ3_global,3,0.8249439887404417,139930.04987494793,-7283.09723783849
θ3_global,3,0.9466570362595234,139517.7649024629,-7695.382210323529
θ3_global,3,1.027799067938911,139192.4288581252,-8020.718254661217
θ3_global,3,1.0818937557251695,138861.35871779744,-8351.78839498898
θ3_global,3,1.135988443511428,138127.6432894521,-9085.503823334322
θ3_global,3,1.1630357874045574,137802.57259311376,-9410.574519672664
θ4_seg1,4,0.0,270893.0771856439,123679.93007285747
θ4_seg1,4,0.5095181548847253,129237.31026554687,-17975.836847239552
θ4_seg1,4,0.8881509121843836,132094.87878830134,-15118.268324485078
θ4_seg1,4,1.1405727503841558,135268.80613562293,-11944.34097716349
θ4_seg1,4,1.3088539758506708,137342.73124455338,-9870.415868233045
θ4_seg1,4,1.421041459495014,138649.86050701994,-8563.28660576648
θ4_seg1,4,1.4958331152579094,139397.18819317772,-7815.958919608704
θ4_seg1,4,1.5706247710208048,140116.58149280175,-7096.565619984671
θ5_seg1,5,0.0,140725.79836222937,-6487.348750557052
θ5_seg1,5,0.5085920044484398,139726.1745870788,-7486.972525707621
θ5_seg1,5,0.8865365215156288,139168.49239111057,-8044.654721675848
θ5_seg1,5,1.1384995328937548,139003.24811374923,-8209.898999037192
θ5_seg1,5,1.3064748738125056,138971.5657746517,-8241.58133813471
θ5_seg1,5,1.418458434425006,138838.10892803813,-8375.038184748293
θ5_seg1,5,1.4931141415000062,138676.5160642234,-8536.631048563024
θ5_seg1,5,1.5677698485750065,138529.64041477197,-8683.506698014447
θ6_seg1,6,0.0,143473.94816788146,-3739.198944904958
θ6_seg1,6,0.5311871659739751,141483.89291254687,-5729.254200239549
θ6_seg1,6,0.9259225828904153,140280.20697531424,-6932.940137472178
